benchmarks <100	100-250	250-500	500-750	750-1000	1000-2500	2500-5000	5000-10000	10k -20k	20k-50k	50k-100k	>100k
602.gcc_s-2226B      1353844   2203104    288561     35499     34533     52058     15652     58950      5769      5488      1531       959   4055948
605.mcf_s-1152B        207203     95977    204781     97548     28899     21202     19028     23150     28460     27957     13648      6872   774725
605.mcf_s-1536B          27199     32887     26503      7305      4023      3294       418       421       349       255        44        54   102752
605.mcf_s-1554B      2402413   1140917    942217    419144    153705    216870     20211      5474      1468        72         1         0   5307970
605.mcf_s-472B        287970    117874    161884     97929     44191     72238     25689     23543     21179     15437      7393      2032    851670
605.mcf_s-782B       674727    291779    592473    246134     72728     21043      4630      6287      6437      7287      2043        18    1925586
607.cactuBSSN_s-2421B              35        15        15         8         2        20        12       114       196      2158        60        18 2653
607.cactuBSSN_s-3477B              11         1         1         1         0         3         3        18       225      1646       184         5 2098
619.lbm_s-2676B         53363     43156     47712     59359     35933    163953     53496      6264        16         0         0         0   463252
619.lbm_s-2677B         63783     51186     56355     70628     41088    166894     47269      6708         9         0         0         0   503920
