Benchmarks,Accuracy
client_001,23.0207
client_002,49.5119
client_003,28.8476
client_004,35.7633
client_005,34.42
client_006,39.8595
client_007,32.5588
client_008,13.1116
server_001,64.8308
server_003,31.3678
server_004,9.40566
server_009,10.5359
server_010,27.9164
server_011,28.9667
server_012,27.4163
server_013,27.2634
server_014,40.5284
server_016,28.6314
server_017,63.0116
server_018,44.339
server_019,63.4994
server_020,43.6166
server_021,49.9432
server_022,64.4232
server_023,28.2708
server_024,27.7525
server_025,26.5714
server_026,28.3241
server_027,26.8982
server_028,44.898
server_029,45.2917
server_030,50.163
server_031,24.713
server_032,17.6137
server_033,13.0742
server_034,12.935
server_035,13.5793
server_037,31.1236
server_038,29.1528
