Benchmarks,Accuracy
client_001,23.0337
client_002,49.537
client_003,28.6875
client_004,35.6545
client_005,34.3099
client_006,39.9733
client_007,32.5538
client_008,13.0822
server_001,64.7918
server_003,31.3563
server_004,9.41778
server_009,10.5332
server_010,27.8945
server_011,28.7941
server_012,27.3231
server_013,27.1702
server_014,40.4328
server_016,28.6038
server_017,63.4525
server_018,44.4122
server_019,63.9214
server_020,44.1496
server_021,50.1882
server_022,64.9633
server_023,28.1713
server_024,27.6289
server_025,26.4592
server_026,28.301
server_027,26.7888
server_028,44.8472
server_029,45.3092
server_030,50.1319
server_031,24.6942
server_032,17.629
server_033,13.0188
server_034,12.9489
server_035,13.5261
server_037,31.0891
server_038,29.1548
