Benchmarks,Accuracy
client_001,24.1849
client_002,50.611
client_003,30.2507
client_004,37.3025
client_005,34.0808
client_006,34.9594
client_007,33.0632
client_008,13.7596
server_001,67.9158
server_003,32.7428
server_004,9.36905
server_009,10.5958
server_010,30.2676
server_011,30.8602
server_012,29.9793
server_013,29.3906
server_014,37.9957
server_016,29.1385
server_017,73.6963
server_018,48.4314
server_019,74.6107
server_020,45.44
server_021,52.1284
server_022,75.6263
server_023,28.5913
server_024,28.3137
server_025,27.2461
server_026,28.6182
server_027,28.0606
server_028,46.318
server_029,47.52
server_030,52.0997
server_031,25.1769
server_032,17.5
server_033,13.414
server_034,13.1295
server_035,13.9586
server_037,30.2409
server_038,27.8546
