Benchmarks,Accuracy
client_001,22.9537
client_002,49.4614
client_003,28.6292
client_004,35.6832
client_005,34.2488
client_006,40.2454
client_007,32.5849
client_008,13.0993
server_001,64.9134
server_003,31.2948
server_004,9.38123
server_009,10.5258
server_010,27.7811
server_011,28.6499
server_012,27.3373
server_013,27.0573
server_014,40.5201
server_016,28.6643
server_017,63.4758
server_018,44.5915
server_019,63.9615
server_020,45.4896
server_021,51.3807
server_022,64.8961
server_023,28.2363
server_024,27.6477
server_025,26.4144
server_026,28.3571
server_027,26.8811
server_028,44.6868
server_029,45.069
server_030,50.1079
server_031,24.6365
server_032,17.6363
server_033,13.0535
server_034,12.9773
server_035,13.5639
server_037,31.1693
server_038,29.208
