Benchmarks,Accuracy
client_001,24.0121
client_002,50.5461
client_003,30.3174
client_004,37.3691
client_005,33.9091
client_006,35.4403
client_007,33.0845
client_008,13.7409
server_001,67.7902
server_003,32.7122
server_004,9.39131
server_009,10.5873
server_010,30.0044
server_011,30.8232
server_012,29.8665
server_013,29.4429
server_014,34.6621
server_016,29.1445
server_017,74.1739
server_018,49.0208
server_019,74.9656
server_020,45.8115
server_021,52.8569
server_022,76.2264
server_023,28.871
server_024,27.872
server_025,27.4318
server_026,28.9311
server_027,28.2837
server_028,44.827
server_029,47.0623
server_030,52.1713
server_031,25.2605
server_032,17.1958
server_033,13.3298
server_034,13.3056
server_035,13.8839
server_037,30.1369
server_038,28.2316
