Benchmarks,Accuracy
client_001,24.1133
client_002,50.6498
client_003,30.1127
client_004,37.4121
client_005,34.1148
client_006,34.5199
client_007,33.0941
client_008,13.7068
server_001,67.725
server_003,32.8045
server_004,9.39583
server_009,10.5973
server_010,30.2786
server_011,31.173
server_012,29.7927
server_013,29.7291
server_014,39.1227
server_016,28.9384
server_017,73.4388
server_018,48.6329
server_019,73.6562
server_020,45.2323
server_021,51.5438
server_022,75.2678
server_023,28.703
server_024,28.0377
server_025,27.5559
server_026,28.9365
server_027,28.1866
server_028,45.2532
server_029,48.0602
server_030,52.8557
server_031,25.4862
server_032,17.6127
server_033,13.4495
server_034,13.3228
server_035,13.9072
server_037,30.4304
server_038,28.0575
