Benchmarks,Accuracy
client_001,23.043
client_002,49.5579
client_003,28.7268
client_004,35.7127
client_005,34.2954
client_006,40.0296
client_007,32.6245
client_008,13.1104
server_001,65.1008
server_003,31.3217
server_004,9.41612
server_009,10.5261
server_010,27.9274
server_011,28.9906
server_012,27.2504
server_013,27.2834
server_014,47.6173
server_016,28.7208
server_017,63.8634
server_018,44.8536
server_019,64.4387
server_020,45.1985
server_021,51.7667
server_022,65.4643
server_023,28.3225
server_024,27.6988
server_025,26.5481
server_026,28.3657
server_027,26.9742
server_028,44.905
server_029,45.2613
server_030,50.161
server_031,24.7135
server_032,17.6202
server_033,13.1229
server_034,12.9338
server_035,13.4537
server_037,31.3304
server_038,29.2032
