Benchmarks,Accuracy
600.perlbench_s-570B,32.418
602.gcc_s-1850B,82.354
602.gcc_s-2226B,90.9449
602.gcc_s-734B,86.2486
603.bwaves_s-1740B,94.6585
603.bwaves_s-2609B,94.5053
603.bwaves_s-2931B,97.9767
603.bwaves_s-891B,99.6524
605.mcf_s-1152B,25.2987
605.mcf_s-1536B,3.84684
605.mcf_s-1554B,41.5894
605.mcf_s-1644B,49.0127
605.mcf_s-472B,28.1132
605.mcf_s-484B,28.4499
605.mcf_s-665B,25.7867
605.mcf_s-782B,22.6644
605.mcf_s-994B,13.492
607.cactuBSSN_s-2421B,11.183
607.cactuBSSN_s-3477B,19.7073
607.cactuBSSN_s-4004B,23.7883
619.lbm_s-2676B,92.7855
619.lbm_s-2677B,91.0301
619.lbm_s-3766B,99.4108
619.lbm_s-4268B,91.0447
620.omnetpp_s-141B,13.6853
620.omnetpp_s-874B,13.8624
621.wrf_s-6673B,77.9679
621.wrf_s-8065B,66.9331
623.xalancbmk_s-10B,18.0309
623.xalancbmk_s-165B,89.1063
623.xalancbmk_s-202B,90.8161
628.pop2_s-17B,73.8441
641.leela_s-1083B,58.3236
649.fotonik3d_s-10881B,58.3925
649.fotonik3d_s-1176B,98.8193
649.fotonik3d_s-7084B,93.081
649.fotonik3d_s-8225B,98.8814
654.roms_s-1007B,93.2571
654.roms_s-1070B,93.6496
654.roms_s-1390B,90.4869
654.roms_s-1613B,91.5954
654.roms_s-293B,96.2512
654.roms_s-294B,90.0124
654.roms_s-523B,93.0748
657.xz_s-2302B,11.9419
