Benchmarks,Accuracy
600.perlbench_s-570B,33.3672
602.gcc_s-1850B,82.5396
602.gcc_s-2226B,90.8231
602.gcc_s-734B,86.2526
603.bwaves_s-1740B,94.8491
603.bwaves_s-2609B,94.7513
603.bwaves_s-2931B,97.982
603.bwaves_s-891B,99.9605
605.mcf_s-1152B,25.4007
605.mcf_s-1536B,3.80105
605.mcf_s-1554B,40.0378
605.mcf_s-1644B,51.3906
605.mcf_s-472B,30.813
605.mcf_s-484B,31.4203
605.mcf_s-665B,25.8837
605.mcf_s-782B,17.6854
605.mcf_s-994B,15.2066
607.cactuBSSN_s-2421B,9.92292
607.cactuBSSN_s-3477B,19.8309
607.cactuBSSN_s-4004B,24.0263
619.lbm_s-2676B,95.4107
619.lbm_s-2677B,94.1997
619.lbm_s-3766B,99.7884
619.lbm_s-4268B,94.2198
620.omnetpp_s-141B,13.8817
620.omnetpp_s-874B,13.9447
621.wrf_s-6673B,76.7555
621.wrf_s-8065B,65.9426
623.xalancbmk_s-10B,17.081
623.xalancbmk_s-165B,89.5719
623.xalancbmk_s-202B,90.937
628.pop2_s-17B,74.0064
641.leela_s-1083B,58.9329
649.fotonik3d_s-10881B,59.9224
649.fotonik3d_s-1176B,99.4436
649.fotonik3d_s-7084B,93.1325
649.fotonik3d_s-8225B,99.5077
654.roms_s-1007B,93.6203
654.roms_s-1070B,94.3967
654.roms_s-1390B,90.7511
654.roms_s-1613B,91.479
654.roms_s-293B,96.2762
654.roms_s-294B,90.0648
654.roms_s-523B,93.8243
657.xz_s-2302B,12.0779
