Benchmarks,Accuracy
600.perlbench_s-570B,32.418
602.gcc_s-1850B,82.3519
602.gcc_s-2226B,90.9023
602.gcc_s-734B,86.2377
603.bwaves_s-1740B,94.6631
603.bwaves_s-2609B,94.4804
603.bwaves_s-2931B,97.9748
603.bwaves_s-891B,99.6531
605.mcf_s-1152B,24.8804
605.mcf_s-1536B,3.86128
605.mcf_s-1554B,38.4517
605.mcf_s-1644B,48.8616
605.mcf_s-472B,27.0882
605.mcf_s-484B,28.4609
605.mcf_s-665B,25.5655
605.mcf_s-782B,22.2091
605.mcf_s-994B,13.4709
607.cactuBSSN_s-2421B,8.92295
607.cactuBSSN_s-3477B,19.7738
607.cactuBSSN_s-4004B,23.5156
619.lbm_s-2676B,92.7716
619.lbm_s-2677B,90.9409
619.lbm_s-3766B,99.42
619.lbm_s-4268B,91.0404
620.omnetpp_s-141B,13.6619
620.omnetpp_s-874B,13.8096
621.wrf_s-6673B,77.9428
621.wrf_s-8065B,65.9721
623.xalancbmk_s-10B,17.108
623.xalancbmk_s-165B,88.5693
623.xalancbmk_s-202B,90.4185
628.pop2_s-17B,74.4078
641.leela_s-1083B,58.3236
649.fotonik3d_s-10881B,58.4076
649.fotonik3d_s-1176B,98.8196
649.fotonik3d_s-7084B,93.1038
649.fotonik3d_s-8225B,98.8811
654.roms_s-1007B,93.2519
654.roms_s-1070B,93.6695
654.roms_s-1390B,90.0906
654.roms_s-1613B,91.6319
654.roms_s-293B,96.2454
654.roms_s-294B,90.0184
654.roms_s-523B,93.0804
657.xz_s-2302B,11.9135
