Benchmarks,Accuracy
600.perlbench_s-570B,33.274
602.gcc_s-1850B,82.539
602.gcc_s-2226B,90.8474
602.gcc_s-734B,86.2855
603.bwaves_s-1740B,94.814
603.bwaves_s-2609B,94.7195
603.bwaves_s-2931B,97.9674
603.bwaves_s-891B,99.9645
605.mcf_s-1152B,21.2984
605.mcf_s-1536B,3.86354
605.mcf_s-1554B,43.6128
605.mcf_s-1644B,51.3231
605.mcf_s-472B,30.9959
605.mcf_s-484B,31.2085
605.mcf_s-665B,24.9586
605.mcf_s-782B,15.0022
605.mcf_s-994B,15.2043
607.cactuBSSN_s-2421B,10.6659
607.cactuBSSN_s-3477B,19.4706
607.cactuBSSN_s-4004B,22.6729
619.lbm_s-2676B,95.5795
619.lbm_s-2677B,94.1853
619.lbm_s-3766B,99.8203
619.lbm_s-4268B,94.2072
620.omnetpp_s-141B,13.8528
620.omnetpp_s-874B,13.926
621.wrf_s-6673B,76.2726
621.wrf_s-8065B,66.3876
623.xalancbmk_s-10B,16.6163
623.xalancbmk_s-165B,89.5258
623.xalancbmk_s-202B,90.9953
628.pop2_s-17B,74.5474
641.leela_s-1083B,58.9087
649.fotonik3d_s-10881B,59.8903
649.fotonik3d_s-1176B,99.4392
649.fotonik3d_s-7084B,93.1069
649.fotonik3d_s-8225B,99.499
654.roms_s-1007B,93.588
654.roms_s-1070B,94.1471
654.roms_s-1390B,90.955
654.roms_s-1613B,91.707
654.roms_s-293B,96.3178
654.roms_s-294B,89.9955
654.roms_s-523B,93.8636
657.xz_s-2302B,12.0781
