Benchmarks,Accuracy
600.perlbench_s-570B,33.3249
602.gcc_s-1850B,82.5532
602.gcc_s-2226B,90.8803
602.gcc_s-734B,86.2521
603.bwaves_s-1740B,94.8914
603.bwaves_s-2609B,94.7011
603.bwaves_s-2931B,97.973
603.bwaves_s-891B,99.959
605.mcf_s-1152B,25.7752
605.mcf_s-1536B,3.85576
605.mcf_s-1554B,43.9426
605.mcf_s-1644B,51.444
605.mcf_s-472B,31.5069
605.mcf_s-484B,31.4862
605.mcf_s-665B,26.1582
605.mcf_s-782B,18.2533
605.mcf_s-994B,15.2749
607.cactuBSSN_s-2421B,11.868
607.cactuBSSN_s-3477B,19.0081
607.cactuBSSN_s-4004B,23.8356
619.lbm_s-2676B,95.4639
619.lbm_s-2677B,94.3471
619.lbm_s-3766B,99.7611
619.lbm_s-4268B,94.2928
620.omnetpp_s-141B,14.0199
620.omnetpp_s-874B,14.1653
621.wrf_s-6673B,76.7631
621.wrf_s-8065B,65.6463
623.xalancbmk_s-10B,18.9131
623.xalancbmk_s-165B,89.6221
623.xalancbmk_s-202B,91.3146
628.pop2_s-17B,74.094
641.leela_s-1083B,58.892
649.fotonik3d_s-10881B,59.9027
649.fotonik3d_s-1176B,99.437
649.fotonik3d_s-7084B,93.1146
649.fotonik3d_s-8225B,99.505
654.roms_s-1007B,92.4966
654.roms_s-1070B,93.8964
654.roms_s-1390B,90.0144
654.roms_s-1613B,92.0568
654.roms_s-293B,96.3156
654.roms_s-294B,90.0596
654.roms_s-523B,93.5451
657.xz_s-2302B,12.1096
