Benchmarks,Accuracy
600.perlbench_s-570B,32.418
602.gcc_s-1850B,82.3449
602.gcc_s-2226B,90.9443
602.gcc_s-734B,86.2631
603.bwaves_s-1740B,94.6317
603.bwaves_s-2609B,94.4764
603.bwaves_s-2931B,97.9884
603.bwaves_s-891B,99.6455
605.mcf_s-1152B,25.3011
605.mcf_s-1536B,3.85781
605.mcf_s-1554B,39.2467
605.mcf_s-1644B,49.372
605.mcf_s-472B,27.0296
605.mcf_s-484B,28.5648
605.mcf_s-665B,25.7889
605.mcf_s-782B,22.6669
605.mcf_s-994B,13.4975
607.cactuBSSN_s-2421B,8.96345
607.cactuBSSN_s-3477B,19.8701
607.cactuBSSN_s-4004B,23.756
619.lbm_s-2676B,92.6474
619.lbm_s-2677B,90.8344
619.lbm_s-3766B,99.2124
619.lbm_s-4268B,90.8361
620.omnetpp_s-141B,13.682
620.omnetpp_s-874B,13.8397
621.wrf_s-6673B,78.4691
621.wrf_s-8065B,65.9463
623.xalancbmk_s-10B,17.9541
623.xalancbmk_s-165B,88.5543
623.xalancbmk_s-202B,90.7879
628.pop2_s-17B,73.8527
641.leela_s-1083B,58.3236
649.fotonik3d_s-10881B,58.3816
649.fotonik3d_s-1176B,98.8181
649.fotonik3d_s-7084B,93.1109
649.fotonik3d_s-8225B,98.8809
654.roms_s-1007B,93.2777
654.roms_s-1070B,93.7446
654.roms_s-1390B,90.1416
654.roms_s-1613B,91.5722
654.roms_s-293B,96.2346
654.roms_s-294B,90.0077
654.roms_s-523B,93.0887
657.xz_s-2302B,11.9391
