Benchmarks,IPC
client_001,0.625256
client_002,0.660599
client_003,0.656759
client_004,0.522684
client_005,0.59877
client_006,0.58349
client_007,0.60523
client_008,0.491019
server_001,0.6178
server_003,0.439784
server_004,0.382351
server_009,0.429242
server_010,0.450349
server_011,0.421801
server_012,0.45489
server_013,0.437064
server_014,0.611001
server_016,0.536068
server_017,0.46433
server_018,0.430867
server_019,0.470759
server_020,0.465314
server_021,0.47802
server_022,0.476744
server_023,0.425443
server_024,0.421613
server_025,0.395324
server_026,0.398268
server_027,0.398107
server_028,0.397753
server_029,0.391758
server_030,0.391127
server_031,0.393881
server_032,0.404432
server_033,0.491096
server_034,0.493648
server_035,0.471969
server_037,0.559632
server_038,0.557331
