Benchmarks,IPC
client_001,0.63359
client_002,0.661327
client_003,0.664522
client_004,0.534191
client_005,0.607191
client_006,0.580632
client_007,0.607565
client_008,0.496758
server_001,0.638898
server_003,0.459886
server_004,0.413905
server_009,0.459954
server_010,0.486029
server_011,0.472455
server_012,0.490174
server_013,0.476619
server_014,0.610788
server_016,0.535887
server_017,0.46904
server_018,0.436898
server_019,0.477309
server_020,0.472748
server_021,0.48633
server_022,0.485559
server_023,0.420428
server_024,0.425551
server_025,0.397764
server_026,0.399921
server_027,0.40137
server_028,0.387836
server_029,0.391315
server_030,0.392235
server_031,0.393571
server_032,0.40144
server_033,0.495015
server_034,0.495018
server_035,0.469979
server_037,0.559467
server_038,0.557446
