Benchmarks,IPC
client_001,0.62877
client_002,0.661244
client_003,0.659691
client_004,0.530177
client_005,0.604962
client_006,0.587162
client_007,0.607841
client_008,0.496241
server_001,0.634469
server_003,0.457303
server_004,0.410216
server_009,0.457718
server_010,0.482697
server_011,0.470143
server_012,0.487812
server_013,0.474289
server_014,0.611511
server_016,0.535978
server_017,0.455586
server_018,0.429418
server_019,0.462746
server_020,0.464269
server_021,0.477654
server_022,0.476235
server_023,0.420934
server_024,0.425855
server_025,0.396906
server_026,0.39841
server_027,0.398375
server_028,0.390317
server_029,0.395701
server_030,0.39105
server_031,0.395926
server_032,0.403292
server_033,0.494901
server_034,0.495341
server_035,0.468946
server_037,0.559439
server_038,0.557486
