Benchmarks,Miss
600.perlbench_s-570B,3037
602.gcc_s-1850B,17601
602.gcc_s-2226B,82371
602.gcc_s-734B,13233
603.bwaves_s-1740B,24436
603.bwaves_s-2609B,24435
603.bwaves_s-2931B,10324
603.bwaves_s-891B,19184
605.mcf_s-1152B,1313082
605.mcf_s-1536B,1473215
605.mcf_s-1554B,2385256
605.mcf_s-1644B,843402
605.mcf_s-472B,1305836
605.mcf_s-484B,549413
605.mcf_s-665B,843336
605.mcf_s-782B,4569634
605.mcf_s-994B,1032231
607.cactuBSSN_s-2421B,74829
607.cactuBSSN_s-3477B,53564
607.cactuBSSN_s-4004B,55154
619.lbm_s-2676B,72084
619.lbm_s-2677B,92227
619.lbm_s-3766B,17132
619.lbm_s-4268B,92539
620.omnetpp_s-141B,539529
620.omnetpp_s-874B,502495
621.wrf_s-6673B,63078
621.wrf_s-8065B,29940
623.xalancbmk_s-10B,1058512
623.xalancbmk_s-165B,32686
623.xalancbmk_s-202B,43611
628.pop2_s-17B,94241
641.leela_s-1083B,1240
649.fotonik3d_s-10881B,263152
649.fotonik3d_s-1176B,8391
649.fotonik3d_s-7084B,14349
649.fotonik3d_s-8225B,8806
654.roms_s-1007B,12093
654.roms_s-1070B,26120
654.roms_s-1390B,47359
654.roms_s-1613B,5659
654.roms_s-293B,7467
654.roms_s-294B,25465
654.roms_s-523B,33314
657.xz_s-2302B,160089
