Benchmarks,Miss
600.perlbench_s-570B,3246
602.gcc_s-1850B,106198
602.gcc_s-2226B,135946
602.gcc_s-734B,38943
603.bwaves_s-1740B,49912
603.bwaves_s-2609B,49607
603.bwaves_s-2931B,38851
603.bwaves_s-891B,22996
605.mcf_s-1152B,1930038
605.mcf_s-1536B,2355960
605.mcf_s-1554B,3473282
605.mcf_s-1644B,1197151
605.mcf_s-472B,1970528
605.mcf_s-484B,776809
605.mcf_s-665B,1443594
605.mcf_s-782B,5995036
605.mcf_s-994B,1650937
607.cactuBSSN_s-2421B,3694198
607.cactuBSSN_s-3477B,3369382
607.cactuBSSN_s-4004B,3375434
619.lbm_s-2676B,150833
619.lbm_s-2677B,199097
619.lbm_s-3766B,10598
619.lbm_s-4268B,199347
620.omnetpp_s-141B,782616
620.omnetpp_s-874B,757703
621.wrf_s-6673B,137319
621.wrf_s-8065B,93534
623.xalancbmk_s-10B,1179063
623.xalancbmk_s-165B,48255
623.xalancbmk_s-202B,60277
628.pop2_s-17B,114048
641.leela_s-1083B,64860
649.fotonik3d_s-10881B,279693
649.fotonik3d_s-1176B,21146
649.fotonik3d_s-7084B,15045
649.fotonik3d_s-8225B,21240
654.roms_s-1007B,12511
654.roms_s-1070B,36101
654.roms_s-1390B,91837
654.roms_s-1613B,7924
654.roms_s-293B,13585
654.roms_s-294B,61673
654.roms_s-523B,41965
657.xz_s-2302B,298437
