Benchmarks,Miss
600.perlbench_s-570B,4313
602.gcc_s-1850B,889155
602.gcc_s-2226B,3501517
602.gcc_s-734B,406012
603.bwaves_s-1740B,925762
603.bwaves_s-2609B,925765
603.bwaves_s-2931B,435069
603.bwaves_s-891B,1159497
605.mcf_s-1152B,1935464
605.mcf_s-1536B,1401695
605.mcf_s-1554B,7537872
605.mcf_s-1644B,2029612
605.mcf_s-472B,2652301
605.mcf_s-484B,1084593
605.mcf_s-665B,1235103
605.mcf_s-782B,6757243
605.mcf_s-994B,1119359
607.cactuBSSN_s-2421B,295313
607.cactuBSSN_s-3477B,243137
607.cactuBSSN_s-4004B,243203
619.lbm_s-2676B,507929
619.lbm_s-2677B,590383
619.lbm_s-3766B,269967
619.lbm_s-4268B,590530
620.omnetpp_s-141B,611180
620.omnetpp_s-874B,557395
621.wrf_s-6673B,847711
621.wrf_s-8065B,360045
623.xalancbmk_s-10B,1274318
623.xalancbmk_s-165B,950667
623.xalancbmk_s-202B,1225348
628.pop2_s-17B,346574
641.leela_s-1083B,3627
649.fotonik3d_s-10881B,962010
649.fotonik3d_s-1176B,438646
649.fotonik3d_s-7084B,818673
649.fotonik3d_s-8225B,445958
654.roms_s-1007B,297182
654.roms_s-1070B,744071
654.roms_s-1390B,1125285
654.roms_s-1613B,133160
654.roms_s-293B,261576
654.roms_s-294B,636919
654.roms_s-523B,943357
657.xz_s-2302B,160889
