Benchmarks,Miss
600.perlbench_s-570B,4306
602.gcc_s-1850B,888203
602.gcc_s-2226B,3501425
602.gcc_s-734B,405848
603.bwaves_s-1740B,925762
603.bwaves_s-2609B,925765
603.bwaves_s-2931B,383804
603.bwaves_s-891B,1159435
605.mcf_s-1152B,924090
605.mcf_s-1536B,1273166
605.mcf_s-1554B,6563605
605.mcf_s-1644B,1541867
605.mcf_s-472B,2649985
605.mcf_s-484B,1082736
605.mcf_s-665B,628311
605.mcf_s-782B,3863931
605.mcf_s-994B,774194
607.cactuBSSN_s-2421B,150805
607.cactuBSSN_s-3477B,106293
607.cactuBSSN_s-4004B,101272
619.lbm_s-2676B,507926
619.lbm_s-2677B,590369
619.lbm_s-3766B,269967
619.lbm_s-4268B,590497
620.omnetpp_s-141B,477152
620.omnetpp_s-874B,424488
621.wrf_s-6673B,804423
621.wrf_s-8065B,202105
623.xalancbmk_s-10B,1215269
623.xalancbmk_s-165B,626045
623.xalancbmk_s-202B,953357
628.pop2_s-17B,138661
641.leela_s-1083B,3390
649.fotonik3d_s-10881B,785605
649.fotonik3d_s-1176B,438624
649.fotonik3d_s-7084B,818663
649.fotonik3d_s-8225B,441149
654.roms_s-1007B,297182
654.roms_s-1070B,744071
654.roms_s-1390B,1125059
654.roms_s-1613B,133158
654.roms_s-293B,140492
654.roms_s-294B,531238
654.roms_s-523B,943354
657.xz_s-2302B,72705
