Benchmarks,IPC
600.perlbench_s-570B,0.634344
602.gcc_s-1850B,0.329199
602.gcc_s-2226B,0.389957
602.gcc_s-734B,0.40287
603.bwaves_s-1740B,0.960322
603.bwaves_s-2609B,0.961417
603.bwaves_s-2931B,1.14069
603.bwaves_s-891B,0.652015
605.mcf_s-1152B,0.25113
605.mcf_s-1536B,0.276054
605.mcf_s-1554B,0.362066
605.mcf_s-1644B,0.159527
605.mcf_s-472B,0.355169
605.mcf_s-484B,0.384626
605.mcf_s-665B,0.256209
605.mcf_s-782B,0.196055
605.mcf_s-994B,0.2024
607.cactuBSSN_s-2421B,0.904792
607.cactuBSSN_s-3477B,0.892205
607.cactuBSSN_s-4004B,0.913309
619.lbm_s-2676B,0.593612
619.lbm_s-2677B,0.523618
619.lbm_s-3766B,0.990189
619.lbm_s-4268B,0.526025
620.omnetpp_s-141B,0.208311
620.omnetpp_s-874B,0.221622
621.wrf_s-6673B,0.855871
621.wrf_s-8065B,0.955023
623.xalancbmk_s-10B,0.297009
623.xalancbmk_s-165B,0.676514
623.xalancbmk_s-202B,0.597843
628.pop2_s-17B,0.783879
641.leela_s-1083B,0.333435
649.fotonik3d_s-10881B,0.640262
649.fotonik3d_s-1176B,1.00194
649.fotonik3d_s-7084B,0.984589
649.fotonik3d_s-8225B,1.00188
654.roms_s-1007B,0.551055
654.roms_s-1070B,0.904957
654.roms_s-1390B,0.746674
654.roms_s-1613B,0.570896
654.roms_s-293B,1.03727
654.roms_s-294B,1.03948
654.roms_s-523B,0.858574
657.xz_s-2302B,0.504059
