Benchmarks,IPC
600.perlbench_s-570B,0.634307
602.gcc_s-1850B,0.329275
602.gcc_s-2226B,0.38973
602.gcc_s-734B,0.402879
603.bwaves_s-1740B,0.961347
603.bwaves_s-2609B,0.960491
603.bwaves_s-2931B,1.14069
603.bwaves_s-891B,0.652038
605.mcf_s-1152B,0.265737
605.mcf_s-1536B,0.2709
605.mcf_s-1554B,0.468563
605.mcf_s-1644B,0.164129
605.mcf_s-472B,0.380758
605.mcf_s-484B,0.421462
605.mcf_s-665B,0.268782
605.mcf_s-782B,0.216341
605.mcf_s-994B,0.203979
607.cactuBSSN_s-2421B,0.903553
607.cactuBSSN_s-3477B,0.892121
607.cactuBSSN_s-4004B,0.911239
619.lbm_s-2676B,0.60183
619.lbm_s-2677B,0.527616
619.lbm_s-3766B,0.991685
619.lbm_s-4268B,0.526294
620.omnetpp_s-141B,0.212023
620.omnetpp_s-874B,0.223761
621.wrf_s-6673B,0.861294
621.wrf_s-8065B,0.962204
623.xalancbmk_s-10B,0.318151
623.xalancbmk_s-165B,0.677078
623.xalancbmk_s-202B,0.599345
628.pop2_s-17B,0.786185
641.leela_s-1083B,0.333435
649.fotonik3d_s-10881B,0.622417
649.fotonik3d_s-1176B,1.00204
649.fotonik3d_s-7084B,0.985384
649.fotonik3d_s-8225B,1.00205
654.roms_s-1007B,0.551
654.roms_s-1070B,0.895698
654.roms_s-1390B,0.747675
654.roms_s-1613B,0.571081
654.roms_s-293B,1.03668
654.roms_s-294B,1.04308
654.roms_s-523B,0.860121
657.xz_s-2302B,0.514904
