Benchmarks,IPC
600.perlbench_s-570B,0.634338
602.gcc_s-1850B,0.329265
602.gcc_s-2226B,0.388603
602.gcc_s-734B,0.402342
603.bwaves_s-1740B,0.96068
603.bwaves_s-2609B,0.96063
603.bwaves_s-2931B,1.14027
603.bwaves_s-891B,0.651937
605.mcf_s-1152B,0.254898
605.mcf_s-1536B,0.272718
605.mcf_s-1554B,0.402539
605.mcf_s-1644B,0.152298
605.mcf_s-472B,0.341652
605.mcf_s-484B,0.381065
605.mcf_s-665B,0.257485
605.mcf_s-782B,0.201217
605.mcf_s-994B,0.195662
607.cactuBSSN_s-2421B,0.907165
607.cactuBSSN_s-3477B,0.894658
607.cactuBSSN_s-4004B,0.914752
619.lbm_s-2676B,0.587115
619.lbm_s-2677B,0.511326
619.lbm_s-3766B,0.987869
619.lbm_s-4268B,0.510826
620.omnetpp_s-141B,0.207391
620.omnetpp_s-874B,0.220193
621.wrf_s-6673B,0.861055
621.wrf_s-8065B,0.952423
623.xalancbmk_s-10B,0.293463
623.xalancbmk_s-165B,0.676397
623.xalancbmk_s-202B,0.598968
628.pop2_s-17B,0.788129
641.leela_s-1083B,0.333435
649.fotonik3d_s-10881B,0.614883
649.fotonik3d_s-1176B,1.00197
649.fotonik3d_s-7084B,0.983183
649.fotonik3d_s-8225B,1.00191
654.roms_s-1007B,0.549953
654.roms_s-1070B,0.884993
654.roms_s-1390B,0.740087
654.roms_s-1613B,0.57127
654.roms_s-293B,1.03561
654.roms_s-294B,1.0291
654.roms_s-523B,0.850202
657.xz_s-2302B,0.512764
