benchmarks,IPC
client_001,0.592841
client_002,0.649034
client_003,0.641344
client_004,0.516444
client_005,0.550382
client_006,0.533903
client_007,0.591339
client_008,0.489075
server_001,0.543052
server_003,0.443483
server_004,0.399905
server_009,0.449663
server_010,0.477297
server_011,0.460654
server_012,0.483854
server_013,0.4655
server_014,0.587394
server_016,0.53272
server_017,0.220954
server_018,0.218808
server_019,0.213689
server_020,0.220543
server_021,0.222302
server_022,0.225127
server_023,0.421952
server_024,0.418135
server_025,0.393229
server_026,0.395803
server_027,0.395813
server_028,0.391258
server_029,0.386101
server_030,0.389687
server_031,0.390494
server_032,0.403549
server_033,0.488284
server_034,0.492486
server_035,0.438791
server_037,0.557432
server_038,0.554751
