benchmarks,IPC
600.perlbench_s-570B,0.634252
602.gcc_s-1850B,0.326704
602.gcc_s-2226B,0.285669
602.gcc_s-734B,0.398686
603.bwaves_s-1740B,0.908068
603.bwaves_s-2609B,0.90773
603.bwaves_s-2931B,1.03428
603.bwaves_s-891B,0.541427
605.mcf_s-1152B,0.232852
605.mcf_s-1536B,0.249715
605.mcf_s-1554B,0.098818
605.mcf_s-1644B,0.104431
605.mcf_s-472B,0.200916
605.mcf_s-484B,0.308272
605.mcf_s-665B,0.245803
605.mcf_s-782B,0.140029
605.mcf_s-994B,0.196512
607.cactuBSSN_s-2421B,0.890334
607.cactuBSSN_s-3477B,0.886645
607.cactuBSSN_s-4004B,0.908015
619.lbm_s-2676B,0.273757
619.lbm_s-2677B,0.235526
619.lbm_s-3766B,0.514745
619.lbm_s-4268B,0.235185
620.omnetpp_s-141B,0.199942
620.omnetpp_s-874B,0.213142
621.wrf_s-6673B,0.616859
621.wrf_s-8065B,0.869824
623.xalancbmk_s-10B,0.23524
623.xalancbmk_s-165B,0.614543
623.xalancbmk_s-202B,0.550525
628.pop2_s-17B,0.779008
641.leela_s-1083B,0.333364
649.fotonik3d_s-10881B,0.492373
649.fotonik3d_s-1176B,1.0013
649.fotonik3d_s-7084B,0.880826
649.fotonik3d_s-8225B,0.997742
654.roms_s-1007B,0.486459
654.roms_s-1070B,0.674391
654.roms_s-1390B,0.418339
654.roms_s-1613B,0.545205
654.roms_s-293B,0.984551
654.roms_s-294B,1.00883
654.roms_s-523B,0.59137
657.xz_s-2302B,0.504502
