Benchmarks,Miss
600.perlbench_s-570B,3352
602.gcc_s-1850B,171567
602.gcc_s-2226B,2420727
602.gcc_s-734B,39821
603.bwaves_s-1740B,88936
603.bwaves_s-2609B,88488
603.bwaves_s-2931B,46133
603.bwaves_s-891B,104693
605.mcf_s-1152B,1962994
605.mcf_s-1536B,2361782
605.mcf_s-1554B,4264959
605.mcf_s-1644B,1317163
605.mcf_s-472B,2040254
605.mcf_s-484B,813162
605.mcf_s-665B,1457502
605.mcf_s-782B,6101072
605.mcf_s-994B,1675217
607.cactuBSSN_s-2421B,3691876
607.cactuBSSN_s-3477B,3369302
607.cactuBSSN_s-4004B,3375497
619.lbm_s-2676B,182779
619.lbm_s-2677B,225103
619.lbm_s-3766B,58441
619.lbm_s-4268B,226530
620.omnetpp_s-141B,788603
620.omnetpp_s-874B,762676
621.wrf_s-6673B,221349
621.wrf_s-8065B,124109
623.xalancbmk_s-10B,1206791
623.xalancbmk_s-165B,129441
623.xalancbmk_s-202B,162908
628.pop2_s-17B,128254
641.leela_s-1083B,66286
649.fotonik3d_s-10881B,294686
649.fotonik3d_s-1176B,175639
649.fotonik3d_s-7084B,33430
649.fotonik3d_s-8225B,175667
654.roms_s-1007B,64339
654.roms_s-1070B,97102
654.roms_s-1390B,315826
654.roms_s-1613B,29302
654.roms_s-293B,39312
654.roms_s-294B,67812
654.roms_s-523B,183020
657.xz_s-2302B,298615
