Benchmarks,Miss
600.perlbench_s-570B,3004
602.gcc_s-1850B,16901
602.gcc_s-2226B,76837
602.gcc_s-734B,13013
603.bwaves_s-1740B,19113
603.bwaves_s-2609B,18995
603.bwaves_s-2931B,7803
603.bwaves_s-891B,19122
605.mcf_s-1152B,317858
605.mcf_s-1536B,710649
605.mcf_s-1554B,2376820
605.mcf_s-1644B,324822
605.mcf_s-472B,1302549
605.mcf_s-484B,547167
605.mcf_s-665B,251874
605.mcf_s-782B,1568107
605.mcf_s-994B,759670
607.cactuBSSN_s-2421B,33226
607.cactuBSSN_s-3477B,24717
607.cactuBSSN_s-4004B,23230
619.lbm_s-2676B,56725
619.lbm_s-2677B,70605
619.lbm_s-3766B,16286
619.lbm_s-4268B,71158
620.omnetpp_s-141B,404256
620.omnetpp_s-874B,363698
621.wrf_s-6673B,41988
621.wrf_s-8065B,15961
623.xalancbmk_s-10B,998325
623.xalancbmk_s-165B,29921
623.xalancbmk_s-202B,35594
628.pop2_s-17B,5403
641.leela_s-1083B,805
649.fotonik3d_s-10881B,238475
649.fotonik3d_s-1176B,7753
649.fotonik3d_s-7084B,13976
649.fotonik3d_s-8225B,7816
654.roms_s-1007B,9505
654.roms_s-1070B,20647
654.roms_s-1390B,40962
654.roms_s-1613B,5058
654.roms_s-293B,4587
654.roms_s-294B,20971
654.roms_s-523B,29925
657.xz_s-2302B,75107
