Benchmarks,Miss
600.perlbench_s-570B,4254
602.gcc_s-1850B,1200796
602.gcc_s-2226B,3503147
602.gcc_s-734B,810356
603.bwaves_s-1740B,975218
603.bwaves_s-2609B,975227
603.bwaves_s-2931B,535878
603.bwaves_s-891B,1159493
605.mcf_s-1152B,2419367
605.mcf_s-1536B,2179124
605.mcf_s-1554B,7538292
605.mcf_s-1644B,2308740
605.mcf_s-472B,2685923
605.mcf_s-484B,1106929
605.mcf_s-665B,1762674
605.mcf_s-782B,7563145
605.mcf_s-994B,1714807
607.cactuBSSN_s-2421B,3692420
607.cactuBSSN_s-3477B,3361122
607.cactuBSSN_s-4004B,3369111
619.lbm_s-2676B,507942
619.lbm_s-2677B,590389
619.lbm_s-3766B,269967
619.lbm_s-4268B,590595
620.omnetpp_s-141B,803788
620.omnetpp_s-874B,792822
621.wrf_s-6673B,1078739
621.wrf_s-8065B,574531
623.xalancbmk_s-10B,1370277
623.xalancbmk_s-165B,950913
623.xalancbmk_s-202B,1257479
628.pop2_s-17B,735974
641.leela_s-1083B,103785
649.fotonik3d_s-10881B,962018
649.fotonik3d_s-1176B,660913
649.fotonik3d_s-7084B,818761
649.fotonik3d_s-8225B,661035
654.roms_s-1007B,297120
654.roms_s-1070B,744074
654.roms_s-1390B,1262249
654.roms_s-1613B,132983
654.roms_s-293B,366208
654.roms_s-294B,641453
654.roms_s-523B,943484
657.xz_s-2302B,299806
