Benchmarks,IPC
client_001,0.624824
client_002,0.66077
client_003,0.656401
client_004,0.526332
client_005,0.601839
client_006,0.58647
client_007,0.607765
client_008,0.493158
server_001,0.605483
server_003,0.460544
server_004,0.411021
server_009,0.467477
server_010,0.479375
server_011,0.465039
server_012,0.488269
server_013,0.469438
server_014,0.610541
server_016,0.535929
server_017,0.407534
server_018,0.393468
server_019,0.415471
server_020,0.414356
server_021,0.434183
server_022,0.427305
server_023,0.424608
server_024,0.422243
server_025,0.3953
server_026,0.398386
server_027,0.398426
server_028,0.396279
server_029,0.392471
server_030,0.389928
server_031,0.394558
server_032,0.404706
server_033,0.494197
server_034,0.496209
server_035,0.470161
server_037,0.559401
server_038,0.556918
