Benchmarks,IPC
client_001,0.624925
client_002,0.660849
client_003,0.656377
client_004,0.526012
client_005,0.601843
client_006,0.582109
client_007,0.60763
client_008,0.493714
server_001,0.600706
server_003,0.459973
server_004,0.412481
server_009,0.458147
server_010,0.479973
server_011,0.465104
server_012,0.486436
server_013,0.46943
server_014,0.61027
server_016,0.535937
server_017,0.408738
server_018,0.393625
server_019,0.41553
server_020,0.415964
server_021,0.434065
server_022,0.427372
server_023,0.424658
server_024,0.421623
server_025,0.39547
server_026,0.398446
server_027,0.398271
server_028,0.396286
server_029,0.392546
server_030,0.389918
server_031,0.394621
server_032,0.404629
server_033,0.494376
server_034,0.496392
server_035,0.470219
server_037,0.559423
server_038,0.556934
