Benchmarks,IPC
client_001,0.624739
client_002,0.661219
client_003,0.656576
client_004,0.52647
client_005,0.602148
client_006,0.582051
client_007,0.607884
client_008,0.493463
server_001,0.60043
server_003,0.460347
server_004,0.407872
server_009,0.455137
server_010,0.480471
server_011,0.465385
server_012,0.486858
server_013,0.469565
server_014,0.610586
server_016,0.535874
server_017,0.409011
server_018,0.395969
server_019,0.416
server_020,0.421406
server_021,0.434056
server_022,0.427899
server_023,0.425017
server_024,0.421865
server_025,0.395075
server_026,0.398173
server_027,0.398173
server_028,0.396841
server_029,0.391713
server_030,0.390887
server_031,0.393914
server_032,0.404294
server_033,0.493757
server_034,0.495107
server_035,0.469938
server_037,0.55951
server_038,0.55704
