Benchmarks,IPC
client_001,0.624778
client_002,0.664526
client_003,0.657134
client_004,0.526782
client_005,0.604314
client_006,0.583865
client_007,0.60717
client_008,0.494892
server_001,0.598888
server_003,0.46379
server_004,0.416536
server_009,0.463394
server_010,0.501065
server_011,0.482852
server_012,0.498629
server_013,0.492381
server_014,0.610508
server_016,0.54421
server_017,0.410686
server_018,0.39707
server_019,0.417034
server_020,0.423587
server_021,0.435266
server_022,0.429211
server_023,0.435615
server_024,0.434221
server_025,0.412123
server_026,0.414799
server_027,0.413211
server_028,0.415964
server_029,0.413317
server_030,0.412912
server_031,0.411177
server_032,0.417724
server_033,0.495615
server_034,0.497374
server_035,0.469942
server_037,0.560523
server_038,0.558061
