Benchmarks,IPC
client_001,0.624855
client_002,0.667049
client_003,0.65259
client_004,0.527488
client_005,0.605491
client_006,0.584383
client_007,0.607435
client_008,0.497686
server_001,0.600748
server_003,0.467609
server_004,0.421325
server_009,0.464358
server_010,0.510339
server_011,0.490426
server_012,0.50276
server_013,0.500123
server_014,0.610568
server_016,0.54748
server_017,0.411421
server_018,0.397488
server_019,0.418166
server_020,0.424127
server_021,0.435435
server_022,0.430204
server_023,0.439792
server_024,0.438194
server_025,0.416732
server_026,0.421668
server_027,0.416414
server_028,0.423142
server_029,0.420807
server_030,0.41633
server_031,0.409634
server_032,0.421442
server_033,0.494711
server_034,0.498254
server_035,0.470543
server_037,0.560817
server_038,0.558143
