Benchmarks,IPC
client_001,0.624489
client_002,0.662287
client_003,0.65519
client_004,0.526091
client_005,0.601889
client_006,0.582563
client_007,0.607216
client_008,0.494807
server_001,0.59927
server_003,0.460956
server_004,0.409178
server_009,0.484414
server_010,0.483676
server_011,0.468687
server_012,0.489238
server_013,0.475379
server_014,0.610362
server_016,0.539659
server_017,0.408111
server_018,0.394913
server_019,0.414476
server_020,0.420326
server_021,0.432581
server_022,0.427821
server_023,0.429822
server_024,0.427622
server_025,0.403996
server_026,0.406417
server_027,0.407533
server_028,0.406083
server_029,0.401001
server_030,0.402651
server_031,0.402273
server_032,0.40386
server_033,0.49432
server_034,0.496341
server_035,0.469248
server_037,0.559276
server_038,0.557004
