Benchmarks,IPC
client_001,0.62693
client_002,0.659585
client_003,0.658684
client_004,0.529562
client_005,0.602544
client_006,0.583455
client_007,0.606794
client_008,0.494965
server_001,0.618454
server_003,0.458286
server_004,0.409496
server_009,0.455844
server_010,0.482535
server_011,0.468568
server_012,0.488117
server_013,0.471784
server_014,0.610696
server_016,0.535489
server_017,0.424556
server_018,0.406113
server_019,0.42917
server_020,0.441487
server_021,0.448344
server_022,0.441706
server_023,0.424795
server_024,0.420835
server_025,0.394829
server_026,0.397842
server_027,0.397779
server_028,0.397251
server_029,0.392036
server_030,0.390897
server_031,0.393845
server_032,0.404311
server_033,0.490556
server_034,0.493539
server_035,0.469475
server_037,0.559295
server_038,0.556824
