Benchmarks,IPC
client_001,0.629813
client_002,0.659421
client_003,0.65961
client_004,0.533544
client_005,0.602739
client_006,0.584643
client_007,0.607812
client_008,0.49548
server_001,0.631911
server_003,0.461881
server_004,0.41217
server_009,0.456839
server_010,0.483496
server_011,0.470216
server_012,0.488739
server_013,0.473186
server_014,0.610726
server_016,0.53557
server_017,0.424723
server_018,0.406601
server_019,0.429882
server_020,0.441896
server_021,0.447678
server_022,0.442717
server_023,0.424892
server_024,0.420903
server_025,0.394852
server_026,0.39782
server_027,0.39788
server_028,0.397319
server_029,0.392121
server_030,0.390851
server_031,0.393848
server_032,0.404303
server_033,0.491007
server_034,0.493556
server_035,0.469661
server_037,0.559252
server_038,0.556748
