Benchmarks,IPC
client_001,0.620358
client_002,0.660763
client_003,0.649009
client_004,0.523084
client_005,0.597329
client_006,0.578583
client_007,0.605734
client_008,0.493597
server_001,0.585686
server_003,0.454892
server_004,0.406209
server_009,0.453103
server_010,0.479889
server_011,0.465743
server_012,0.485769
server_013,0.468582
server_014,0.610719
server_016,0.535511
server_017,0.404507
server_018,0.385593
server_019,0.411672
server_020,0.415316
server_021,0.428589
server_022,0.425387
server_023,0.424745
server_024,0.420762
server_025,0.394827
server_026,0.397871
server_027,0.397751
server_028,0.397442
server_029,0.392133
server_030,0.391108
server_031,0.394092
server_032,0.404364
server_033,0.490676
server_034,0.493635
server_035,0.468241
server_037,0.559537
server_038,0.557079
