benchmarks,IPC
client_001,0.540919
client_002,0.631969
client_003,0.614536
client_004,0.493934
client_005,0.463212
client_006,0.458587
client_007,0.560069
client_008,0.477479
server_001,0.463064
server_003,0.412028
server_004,0.386351
server_009,0.439771
server_010,0.469717
server_011,0.448544
server_012,0.475835
server_013,0.455947
server_014,0.55876
server_016,0.528619
server_017,0.132679
server_018,0.13227
server_019,0.127162
server_020,0.133148
server_021,0.134271
server_022,0.134658
server_023,0.41805
server_024,0.414334
server_025,0.390958
server_026,0.392784
server_027,0.392893
server_028,0.381143
server_029,0.375499
server_030,0.388135
server_031,0.383829
server_032,0.402587
server_033,0.4815
server_034,0.489327
server_035,0.392035
server_037,0.553166
server_038,0.550189
