benchmarks,IPC
client_001,0.614276
client_002,0.656678
client_003,0.652221
client_004,0.523383
client_005,0.588188
client_006,0.565865
client_007,0.602548
client_008,0.492551
server_001,0.578751
server_003,0.454808
server_004,0.404746
server_009,0.452701
server_010,0.479635
server_011,0.464322
server_012,0.486246
server_013,0.468539
server_014,0.601072
server_016,0.535108
server_017,0.314482
server_018,0.310056
server_019,0.308348
server_020,0.31814
server_021,0.322228
server_022,0.323252
server_023,0.424474
server_024,0.420611
server_025,0.394943
server_026,0.397649
server_027,0.397568
server_028,0.396691
server_029,0.390766
server_030,0.390944
server_031,0.393573
server_032,0.404323
server_033,0.4905
server_034,0.4934
server_035,0.459085
server_037,0.558917
server_038,0.556389
