benchmarks,IPC
600.perlbench_s-570B,0.634344
602.gcc_s-1850B,0.32928
602.gcc_s-2226B,0.388052
602.gcc_s-734B,0.401293
603.bwaves_s-1740B,0.960262
603.bwaves_s-2609B,0.960301
603.bwaves_s-2931B,1.14066
603.bwaves_s-891B,0.651978
605.mcf_s-1152B,0.246794
605.mcf_s-1536B,0.276616
605.mcf_s-1554B,0.277294
605.mcf_s-1644B,0.152798
605.mcf_s-472B,0.326092
605.mcf_s-484B,0.378871
605.mcf_s-665B,0.256147
605.mcf_s-782B,0.168765
605.mcf_s-994B,0.203491
607.cactuBSSN_s-2421B,0.909035
607.cactuBSSN_s-3477B,0.896269
607.cactuBSSN_s-4004B,0.917418
619.lbm_s-2676B,0.595793
619.lbm_s-2677B,0.520574
619.lbm_s-3766B,0.99096
619.lbm_s-4268B,0.519083
620.omnetpp_s-141B,0.202348
620.omnetpp_s-874B,0.215709
621.wrf_s-6673B,0.861179
621.wrf_s-8065B,0.959862
623.xalancbmk_s-10B,0.260597
623.xalancbmk_s-165B,0.66482
623.xalancbmk_s-202B,0.58974
628.pop2_s-17B,0.788225
641.leela_s-1083B,0.333435
649.fotonik3d_s-10881B,0.611443
649.fotonik3d_s-1176B,1.00194
649.fotonik3d_s-7084B,0.983838
649.fotonik3d_s-8225B,1.00189
654.roms_s-1007B,0.550856
654.roms_s-1070B,0.890413
654.roms_s-1390B,0.747624
654.roms_s-1613B,0.571272
654.roms_s-293B,1.03234
654.roms_s-294B,1.04481
654.roms_s-523B,0.85716
657.xz_s-2302B,0.506861
