benchmarks,IPC
600.perlbench_s-570B,0.634259
602.gcc_s-1850B,0.328746
602.gcc_s-2226B,0.306789
602.gcc_s-734B,0.398773
603.bwaves_s-1740B,0.915733
603.bwaves_s-2609B,0.91607
603.bwaves_s-2931B,1.03485
603.bwaves_s-891B,0.540017
605.mcf_s-1152B,0.234035
605.mcf_s-1536B,0.250062
605.mcf_s-1554B,0.101396
605.mcf_s-1644B,0.104442
605.mcf_s-472B,0.203016
605.mcf_s-484B,0.312351
605.mcf_s-665B,0.246479
605.mcf_s-782B,0.139214
605.mcf_s-994B,0.197251
607.cactuBSSN_s-2421B,0.890286
607.cactuBSSN_s-3477B,0.886645
607.cactuBSSN_s-4004B,0.908015
619.lbm_s-2676B,0.273782
619.lbm_s-2677B,0.235549
619.lbm_s-3766B,0.51468
619.lbm_s-4268B,0.235211
620.omnetpp_s-141B,0.200226
620.omnetpp_s-874B,0.213521
621.wrf_s-6673B,0.620208
621.wrf_s-8065B,0.870547
623.xalancbmk_s-10B,0.237516
623.xalancbmk_s-165B,0.65369
623.xalancbmk_s-202B,0.562246
628.pop2_s-17B,0.780003
641.leela_s-1083B,0.333426
649.fotonik3d_s-10881B,0.493969
649.fotonik3d_s-1176B,1.00123
649.fotonik3d_s-7084B,0.882885
649.fotonik3d_s-8225B,0.997819
654.roms_s-1007B,0.486985
654.roms_s-1070B,0.67848
654.roms_s-1390B,0.419768
654.roms_s-1613B,0.546134
654.roms_s-293B,0.985834
654.roms_s-294B,1.00907
654.roms_s-523B,0.594601
657.xz_s-2302B,0.504594
