benchmark,<100,100-250,250-500,500-750,750-1000,1000-2500,2500-5000,5000-10000,10k-20k,20k-50k,50k-100k,>100k,total
600.perlbench_s-210B,492,212,205,458,146,419,413,591,309,755,879,462,5341
602.gcc_s-2226B,1353844,2203104,288561,35499,34533,52058,15652,58950,5769,5488,1531,959,4055948
602.gcc_s-734B,7021,84809,72856,14549,17319,651275,31434,21617,3333,3693,11513,56,919475
603.bwaves_s-3699B,22,10,15,193,1450,1344,4015,2708,3336,2375,47,203,15718
605.mcf_s-1152B,207203,95977,204781,97548,28899,21202,19028,23150,28460,27957,13648,6872,774725
605.mcf_s-1536B,27199,32887,26503,7305,4023,3294,418,421,349,255,44,54,102752
605.mcf_s-1644B,302966,191771,294126,203690,134255,213886,14965,1423,1079,2166,424,844,1361595
605.mcf_s-472B,287970,117874,161884,97929,44191,72238,25689,23543,21179,15437,7393,2032,877359
605.mcf_s-665B,144603,49493,131316,81425,28632,27313,27286,30822,31599,33035,15431,8076,609031
607.cactuBSSN_s-2421B,35,15,15,8,2,20,12,114,196,2158,60,18,2653
607.cactuBSSN_s-3477B,11,1,1,1,0,3,3,18,225,1646,184,5,2098
607.cactuBSSN_s-4004B,50,1,3,1,0,2,1,106,320,2146,53,0,2683
619.lbm_s-2676B,53363,43156,47712,59359,35933,163953,53496,6264,16,0,0,0,463252
619.lbm_s-2677B,63783,51186,56355,70628,41088,166894,47269,6708,9,0,0,0,503920
619.lbm_s-3766B,883,8598,13650,28689,29865,117582,108350,3658,11,0,0,0,311286
619.lbm_s-4268B,62969,49937,56977,69923,41101,167571,47699,6519,13,0,0,0,502709
623.xalancbmk_s-700B,336029,18474,8222,3878,2589,13044,21329,25677,6816,2961,3428,841,443288
649.fotonik3d_s-1176B,11171,103143,71396,378345,4388,200326,19,0,0,0,0,0,768788
654.roms_s-842B,49,125,336,149,102,1509,353,113,171,3482,89,67,6545
