benchmarks,positive,negative,neutral
600.perlbench_s-570B,813,1343,2975
602.gcc_s-1850B,10051,2293,1300315
602.gcc_s-2226B,16673,22050,3698892
602.gcc_s-734B,2985,3322,883436
603.bwaves_s-1740B,953,12,930781
603.bwaves_s-2609B,1290,11,930543
603.bwaves_s-2931B,0,0,503759
603.bwaves_s-891B,0,0,1140345
605.mcf_s-1152B,853004,875095,1698959
605.mcf_s-1536B,1160058,1247183,1237333
605.mcf_s-1554B,1288264,2385895,7171647
605.mcf_s-1644B,36732,56539,2828086
605.mcf_s-472B,548562,806646,2056691
605.mcf_s-484B,253979,360223,886921
605.mcf_s-665B,595847,680261,1315478
605.mcf_s-782B,2522639,2162001,5007548
605.mcf_s-994B,634411,827090,953793
607.cactuBSSN_s-2421B,5263,3376,36609
607.cactuBSSN_s-3477B,2973,3500,5152
607.cactuBSSN_s-4004B,1734,1887,5970
619.lbm_s-2676B,6550,277,382595
619.lbm_s-2677B,7199,407,429789
619.lbm_s-3766B,115,12,260794
619.lbm_s-4268B,7461,432,430375
620.omnetpp_s-141B,336325,418627,388902
620.omnetpp_s-874B,337454,421411,399903
621.wrf_s-6673B,30916,14207,1116099
621.wrf_s-8065B,25987,29765,593516
623.xalancbmk_s-10B,409152,496927,715476
623.xalancbmk_s-165B,5318,1074,1005345
623.xalancbmk_s-202B,33772,166,1261819
628.pop2_s-17B,57318,78766,831979
641.leela_s-1083B,12379,18043,83393
649.fotonik3d_s-10881B,6289,18193,1220791
649.fotonik3d_s-1176B,478,0,646461
649.fotonik3d_s-7084B,1557,56,860436
649.fotonik3d_s-8225B,21,0,646826
654.roms_s-1007B,17,48,307523
654.roms_s-1070B,363,3505,756640
654.roms_s-1390B,4892,1531,1274537
654.roms_s-1613B,121,541,138741
654.roms_s-293B,1225,6,385899
654.roms_s-294B,1261,4327,652413
654.roms_s-523B,163,336,986207
657.xz_s-2302B,157207,186391,191560
