benchmarks,positive,negative,neutral
600.perlbench_s-570B,93,1965,1445
602.gcc_s-1850B,17980,21402,878492
602.gcc_s-2226B,39344,41199,3604800
602.gcc_s-734B,17477,19937,435248
603.bwaves_s-1740B,110482,120670,703006
603.bwaves_s-2609B,109613,119810,704838
603.bwaves_s-2931B,52546,58169,437629
603.bwaves_s-891B,7,73,1143397
605.mcf_s-1152B,267777,284855,2308636
605.mcf_s-1536B,121351,134478,2273913
605.mcf_s-1554B,47906,47425,11278779
605.mcf_s-1644B,208851,208369,2937916
605.mcf_s-472B,42907,43142,3338990
605.mcf_s-484B,34256,34655,1315661
605.mcf_s-665B,188023,204332,1448551
605.mcf_s-782B,226968,231994,8867160
605.mcf_s-994B,49352,58658,1745381
607.cactuBSSN_s-2421B,80217,6931,142376
607.cactuBSSN_s-3477B,48831,831,134798
607.cactuBSSN_s-4004B,49408,644,132268
619.lbm_s-2676B,188171,206288,291839
619.lbm_s-2677B,217549,245341,330829
619.lbm_s-3766B,126377,123703,165800
619.lbm_s-4268B,209197,232894,338979
620.omnetpp_s-141B,78774,84301,758872
620.omnetpp_s-874B,84478,91941,750862
621.wrf_s-6673B,107510,101285,859648
621.wrf_s-8065B,54161,51415,407893
623.xalancbmk_s-10B,23991,23832,1583330
623.xalancbmk_s-165B,11286,12499,996895
623.xalancbmk_s-202B,5394,6859,1274234
628.pop2_s-17B,73198,72500,468813
641.leela_s-1083B,386,2682,2076
649.fotonik3d_s-10881B,1003,1007,1360527
649.fotonik3d_s-1176B,3253,3983,426174
649.fotonik3d_s-7084B,1977,2299,856070
649.fotonik3d_s-8225B,3863,5371,433668
654.roms_s-1007B,1107,1934,419558
654.roms_s-1070B,11090,10933,973270
654.roms_s-1390B,60893,57726,1388380
654.roms_s-1613B,783,2561,196103
654.roms_s-293B,5410,5194,393945
654.roms_s-294B,102561,102836,537711
654.roms_s-523B,5967,5676,1192181
657.xz_s-2302B,50996,60005,185301
