benchmarks,positive,negative,neutral
600.perlbench_s-570B,0,2275,758
602.gcc_s-1850B,125,2793,910844
602.gcc_s-2226B,1074,6365,3628350
602.gcc_s-734B,949,5338,424050
603.bwaves_s-1740B,37,27725,899837
603.bwaves_s-2609B,272,26571,906322
603.bwaves_s-2931B,55,110869,314030
603.bwaves_s-891B,7,80,1143063
605.mcf_s-1152B,34482,42656,1328431
605.mcf_s-1536B,45913,450869,727893
605.mcf_s-1554B,3077,169721,7180883
605.mcf_s-1644B,4823,592849,1284118
605.mcf_s-472B,4511,155221,2765725
605.mcf_s-484B,1056,147547,1109380
605.mcf_s-665B,34497,41263,934052
605.mcf_s-782B,46673,66091,4691502
605.mcf_s-994B,4811,5879,1576164
607.cactuBSSN_s-2421B,24546,44954,85022
607.cactuBSSN_s-3477B,21668,36137,56177
607.cactuBSSN_s-4004B,22271,34434,51252
619.lbm_s-2676B,4484,230166,385474
619.lbm_s-2677B,4635,280422,453440
619.lbm_s-3766B,3767,129782,221443
619.lbm_s-4268B,6412,260372,458116
620.omnetpp_s-141B,18072,96703,612486
620.omnetpp_s-874B,21887,89670,603800
621.wrf_s-6673B,3436,72864,877937
621.wrf_s-8065B,1705,43130,224388
623.xalancbmk_s-10B,5927,9517,1352288
623.xalancbmk_s-165B,215,2900,226307
623.xalancbmk_s-202B,166,1600,828764
628.pop2_s-17B,2996,14206,169923
641.leela_s-1083B,0,3126,936
649.fotonik3d_s-10881B,94,213659,954502
649.fotonik3d_s-1176B,12,552,432601
649.fotonik3d_s-7084B,6,236172,607859
649.fotonik3d_s-8225B,92,2628,434762
654.roms_s-1007B,1,96969,291726
654.roms_s-1070B,54,156672,746497
654.roms_s-1390B,24,327614,1125221
654.roms_s-1613B,7,49946,116510
654.roms_s-293B,622,45055,156939
654.roms_s-294B,2688,4749,609194
654.roms_s-523B,34,193797,948473
657.xz_s-2302B,15726,37048,89189
