benchmarks,positive,negative,neutral
600.perlbench_s-570B,813,1343,2975
602.gcc_s-1850B,9218,2281,1301665
602.gcc_s-2226B,15742,22089,3700298
602.gcc_s-734B,2978,3265,883769
603.bwaves_s-1740B,1170,7,930365
603.bwaves_s-2609B,978,6,930688
603.bwaves_s-2931B,0,0,503738
603.bwaves_s-891B,0,0,1140353
605.mcf_s-1152B,847445,857343,1716156
605.mcf_s-1536B,1159891,1247048,1237827
605.mcf_s-1554B,1276755,2300951,6760316
605.mcf_s-1644B,33375,50953,2840376
605.mcf_s-472B,523285,765079,2126456
605.mcf_s-484B,249548,354027,898701
605.mcf_s-665B,590647,669221,1329937
605.mcf_s-782B,2614850,2170880,4865578
605.mcf_s-994B,631272,825473,957038
607.cactuBSSN_s-2421B,5478,3259,35638
607.cactuBSSN_s-3477B,3024,3468,5123
607.cactuBSSN_s-4004B,1701,1839,6044
619.lbm_s-2676B,6048,314,386368
619.lbm_s-2677B,7240,466,430957
619.lbm_s-3766B,122,8,260632
619.lbm_s-4268B,7305,398,431839
620.omnetpp_s-141B,336765,419951,390788
620.omnetpp_s-874B,336153,421341,402194
621.wrf_s-6673B,31104,13711,1113701
621.wrf_s-8065B,26610,30448,595528
623.xalancbmk_s-10B,393366,491516,722700
623.xalancbmk_s-165B,5677,1008,1005346
623.xalancbmk_s-202B,18718,157,1276550
628.pop2_s-17B,56473,78234,831420
641.leela_s-1083B,12379,18043,83393
649.fotonik3d_s-10881B,6642,19771,1220473
649.fotonik3d_s-1176B,622,0,646323
649.fotonik3d_s-7084B,1543,54,860323
649.fotonik3d_s-8225B,21,0,646835
654.roms_s-1007B,15,18,307599
654.roms_s-1070B,455,4928,755468
654.roms_s-1390B,4405,1358,1275419
654.roms_s-1613B,18,30,139065
654.roms_s-293B,1986,1,385127
654.roms_s-294B,987,4161,652818
654.roms_s-523B,235,357,986154
657.xz_s-2302B,157167,186521,191541
