benchmarks,positive,negative,neutral
600.perlbench_s-570B,93,1965,1445
602.gcc_s-1850B,17896,21238,878481
602.gcc_s-2226B,38956,40711,3604750
602.gcc_s-734B,17798,20256,435077
603.bwaves_s-1740B,111563,122140,700437
603.bwaves_s-2609B,109385,119783,705087
603.bwaves_s-2931B,52397,57870,438053
603.bwaves_s-891B,7,73,1143396
605.mcf_s-1152B,276753,294111,2289499
605.mcf_s-1536B,121348,134436,2274297
605.mcf_s-1554B,63907,63109,10829447
605.mcf_s-1644B,214652,213888,2929217
605.mcf_s-472B,45013,45318,3346743
605.mcf_s-484B,34651,35135,1316767
605.mcf_s-665B,193408,209134,1439307
605.mcf_s-782B,253237,258541,8811688
605.mcf_s-994B,49153,58512,1744669
607.cactuBSSN_s-2421B,81286,7735,144506
607.cactuBSSN_s-3477B,48496,834,135137
607.cactuBSSN_s-4004B,49205,620,132506
619.lbm_s-2676B,189216,207014,292193
619.lbm_s-2677B,218112,245588,330781
619.lbm_s-3766B,126586,123745,165509
619.lbm_s-4268B,209321,231958,340379
620.omnetpp_s-141B,78751,84345,760044
620.omnetpp_s-874B,84771,92385,749989
621.wrf_s-6673B,107203,100838,857041
621.wrf_s-8065B,53695,51023,411245
623.xalancbmk_s-10B,24156,23981,1577998
623.xalancbmk_s-165B,14272,15418,990747
623.xalancbmk_s-202B,5650,7118,1273985
628.pop2_s-17B,74190,73267,465987
641.leela_s-1083B,386,2682,2076
649.fotonik3d_s-10881B,1146,1142,1361511
649.fotonik3d_s-1176B,3231,3953,426217
649.fotonik3d_s-7084B,2075,2370,855804
649.fotonik3d_s-8225B,3959,5448,433512
654.roms_s-1007B,1039,1856,419648
654.roms_s-1070B,11155,10998,972249
654.roms_s-1390B,60073,57233,1389458
654.roms_s-1613B,631,2393,196582
654.roms_s-293B,5382,5175,394059
654.roms_s-294B,102725,103026,537400
654.roms_s-523B,5514,5266,1192783
657.xz_s-2302B,50964,60206,185339
