benchmarks,positive,negative,neutral
600.perlbench_s-570B,0,2275,758
602.gcc_s-1850B,207,265,908959
602.gcc_s-2226B,447,610,3665216
602.gcc_s-734B,273,944,466430
603.bwaves_s-1740B,16,16,935196
603.bwaves_s-2609B,15,15,935548
603.bwaves_s-2931B,75,111,550493
603.bwaves_s-891B,7,9,1143540
605.mcf_s-1152B,41430,56637,1177017
605.mcf_s-1536B,49798,149527,979609
605.mcf_s-1554B,123,574,10980069
605.mcf_s-1644B,15191,16527,2528870
605.mcf_s-472B,969,2262,3426799
605.mcf_s-484B,795,1542,1375063
605.mcf_s-665B,33055,46780,781225
605.mcf_s-782B,70060,77759,4795074
605.mcf_s-994B,1909,2972,1476102
607.cactuBSSN_s-2421B,24776,41426,80018
607.cactuBSSN_s-3477B,20984,31203,55364
607.cactuBSSN_s-4004B,20723,30278,52099
619.lbm_s-2676B,2590,3723,811345
619.lbm_s-2677B,1608,1655,926982
619.lbm_s-3766B,1261,1012,447204
619.lbm_s-4268B,3264,3290,932100
620.omnetpp_s-141B,18305,20940,679023
620.omnetpp_s-874B,19353,22822,665554
621.wrf_s-6673B,3318,5097,985805
621.wrf_s-8065B,3117,2719,261027
623.xalancbmk_s-10B,2343,2401,1545186
623.xalancbmk_s-165B,34,45,1017865
623.xalancbmk_s-202B,29,131,1062068
628.pop2_s-17B,2886,7132,149103
641.leela_s-1083B,0,3126,936
649.fotonik3d_s-10881B,54,237,1265645
649.fotonik3d_s-1176B,12,18,433068
649.fotonik3d_s-7084B,8,57,859870
649.fotonik3d_s-8225B,87,136,435480
654.roms_s-1007B,4,14291,404916
654.roms_s-1070B,3,28,1003061
654.roms_s-1390B,21,37,1528899
654.roms_s-1613B,1,16939,178945
654.roms_s-293B,304,1653,249648
654.roms_s-294B,3042,3917,607640
654.roms_s-523B,10,38,1218689
657.xz_s-2302B,17226,23595,100300
