benchmarks,positive,negative,neutral
600.perlbench_s-570B,838,1355,2940
602.gcc_s-1850B,10299,2257,1300415
602.gcc_s-2226B,15282,21487,3701052
602.gcc_s-734B,3000,3038,883495
603.bwaves_s-1740B,1041,6,930500
603.bwaves_s-2609B,1042,7,930612
603.bwaves_s-2931B,0,0,503697
603.bwaves_s-891B,0,0,1140359
605.mcf_s-1152B,882277,937961,1645879
605.mcf_s-1536B,1156345,1244560,1232523
605.mcf_s-1554B,1151028,2146051,7319711
605.mcf_s-1644B,37380,58157,2824321
605.mcf_s-472B,542938,807530,2055059
605.mcf_s-484B,256739,361417,883364
605.mcf_s-665B,609236,706244,1284430
605.mcf_s-782B,2252778,2033480,5410787
605.mcf_s-994B,634499,827276,953372
607.cactuBSSN_s-2421B,5711,3270,35834
607.cactuBSSN_s-3477B,2918,3386,5121
607.cactuBSSN_s-4004B,1781,1941,5894
619.lbm_s-2676B,6051,339,384675
619.lbm_s-2677B,7139,492,430321
619.lbm_s-3766B,146,6,260641
619.lbm_s-4268B,7565,505,428007
620.omnetpp_s-141B,336612,418553,389499
620.omnetpp_s-874B,337804,421723,399585
621.wrf_s-6673B,30192,13498,1114941
621.wrf_s-8065B,25377,29513,592018
623.xalancbmk_s-10B,411756,497478,711848
623.xalancbmk_s-165B,4665,1006,1006361
623.xalancbmk_s-202B,27946,165,1267581
628.pop2_s-17B,53711,74438,829646
641.leela_s-1083B,12314,17930,83561
649.fotonik3d_s-10881B,6428,18833,1220264
649.fotonik3d_s-1176B,469,0,646489
649.fotonik3d_s-7084B,1554,54,860476
649.fotonik3d_s-8225B,29,0,646839
654.roms_s-1007B,16,38,307577
654.roms_s-1070B,429,4483,756049
654.roms_s-1390B,4827,1563,1275989
654.roms_s-1613B,49,226,139119
654.roms_s-293B,1393,6,386129
654.roms_s-294B,1001,4434,652999
654.roms_s-523B,113,349,986386
657.xz_s-2302B,157151,186503,191547
