benchmarks,positive,negative,neutral
600.perlbench_s-570B,103,2042,1388
602.gcc_s-1850B,18067,21313,878346
602.gcc_s-2226B,39297,41010,3604793
602.gcc_s-734B,17244,19745,435331
603.bwaves_s-1740B,110612,120668,702727
603.bwaves_s-2609B,109785,120303,704125
603.bwaves_s-2931B,54822,59870,446056
603.bwaves_s-891B,7,74,1143365
605.mcf_s-1152B,218733,234366,2396436
605.mcf_s-1536B,109789,115944,2375064
605.mcf_s-1554B,36217,35662,11153618
605.mcf_s-1644B,208546,208024,2934480
605.mcf_s-472B,40495,40648,3337408
605.mcf_s-484B,34389,34883,1315619
605.mcf_s-665B,179754,195520,1465982
605.mcf_s-782B,181190,185271,8882155
605.mcf_s-994B,49393,58723,1746287
607.cactuBSSN_s-2421B,83920,7682,139445
607.cactuBSSN_s-3477B,48833,699,138469
607.cactuBSSN_s-4004B,54112,642,134234
619.lbm_s-2676B,194067,216344,284964
619.lbm_s-2677B,211970,237203,332822
619.lbm_s-3766B,124343,121615,168176
619.lbm_s-4268B,210987,234524,335131
620.omnetpp_s-141B,78379,84378,760976
620.omnetpp_s-874B,85182,92161,749769
621.wrf_s-6673B,104098,98221,866348
621.wrf_s-8065B,55237,52299,406433
623.xalancbmk_s-10B,23768,23348,1586015
623.xalancbmk_s-165B,11882,13050,996065
623.xalancbmk_s-202B,5373,6711,1275370
628.pop2_s-17B,70380,69729,462553
641.leela_s-1083B,382,2555,2140
649.fotonik3d_s-10881B,1084,1092,1360191
649.fotonik3d_s-1176B,3415,4178,426524
649.fotonik3d_s-7084B,2195,2529,855685
649.fotonik3d_s-8225B,3634,5213,433851
654.roms_s-1007B,1015,2223,420052
654.roms_s-1070B,11260,11138,968753
654.roms_s-1390B,60875,57603,1389482
654.roms_s-1613B,663,2421,187761
654.roms_s-293B,5260,5082,393721
654.roms_s-294B,107429,107491,528934
654.roms_s-523B,5721,5457,1191206
657.xz_s-2302B,50785,60259,185314
