benchmarks,positive,negative,neutral
600.perlbench_s-570B,0,2354,670
602.gcc_s-1850B,166,5053,903247
602.gcc_s-2226B,1197,5518,3630714
602.gcc_s-734B,772,3975,429203
603.bwaves_s-1740B,266,25106,905342
603.bwaves_s-2609B,39,26172,900815
603.bwaves_s-2931B,59,127800,364117
603.bwaves_s-891B,1,435786,706508
605.mcf_s-1152B,15767,17165,1597121
605.mcf_s-1536B,51813,451831,781100
605.mcf_s-1554B,4325,167923,5552408
605.mcf_s-1644B,3563,678883,977455
605.mcf_s-472B,5948,167336,2477755
605.mcf_s-484B,2905,164939,1028096
605.mcf_s-665B,18792,22090,1093625
605.mcf_s-782B,24622,36234,5693019
605.mcf_s-994B,6770,50037,1558435
607.cactuBSSN_s-2421B,29197,50916,96160
607.cactuBSSN_s-3477B,25572,44167,72404
607.cactuBSSN_s-4004B,27373,44244,70952
619.lbm_s-2676B,4538,233334,416907
619.lbm_s-2677B,6093,260887,474246
619.lbm_s-3766B,3451,119487,218926
619.lbm_s-4268B,5435,266914,475895
620.omnetpp_s-141B,21057,99679,634276
620.omnetpp_s-874B,24068,83501,651748
621.wrf_s-6673B,2525,76406,846407
621.wrf_s-8065B,1828,24127,213662
623.xalancbmk_s-10B,5107,10031,1263480
623.xalancbmk_s-165B,142,937,231305
623.xalancbmk_s-202B,139,704,713500
628.pop2_s-17B,3039,34690,227799
641.leela_s-1083B,0,2944,1117
649.fotonik3d_s-10881B,55,341087,918304
649.fotonik3d_s-1176B,11,399517,32342
649.fotonik3d_s-7084B,7,248927,599785
649.fotonik3d_s-8225B,23,384260,47833
654.roms_s-1007B,2,94214,297944
654.roms_s-1070B,23,143647,787307
654.roms_s-1390B,24,343367,1106453
654.roms_s-1613B,0,44547,134683
654.roms_s-293B,544,39692,139592
654.roms_s-294B,3121,7647,723567
654.roms_s-523B,31,227906,908196
657.xz_s-2302B,16527,32588,93750
