benchmarks,positive,negative,neutral
600.perlbench_s-570B,1,1,21
602.gcc_s-1850B,15436,14,494047
602.gcc_s-2226B,379356,1051,1210539
602.gcc_s-734B,20936,34,245052
603.bwaves_s-1740B,82125,0,323982
603.bwaves_s-2609B,80270,0,325956
603.bwaves_s-2931B,44562,2,253381
603.bwaves_s-891B,10824,0,762740
605.mcf_s-1152B,74724,12171,18385
605.mcf_s-1536B,5340,4344,19422
605.mcf_s-1554B,755275,16335,102142
605.mcf_s-1644B,345137,5806,47180
605.mcf_s-472B,257409,5694,37782
605.mcf_s-484B,121010,2487,25028
605.mcf_s-665B,59297,8888,19708
605.mcf_s-782B,272947,50987,12442
605.mcf_s-994B,15156,4166,3208
607.cactuBSSN_s-2421B,25005,536,13795
607.cactuBSSN_s-3477B,2577,56,9623
607.cactuBSSN_s-4004B,3047,92,10190
619.lbm_s-2676B,29249,0,56418
619.lbm_s-2677B,32314,0,68523
619.lbm_s-3766B,14737,0,42357
619.lbm_s-4268B,35006,1,65676
620.omnetpp_s-141B,612,274,304
620.omnetpp_s-874B,627,226,300
621.wrf_s-6673B,106029,677,348326
621.wrf_s-8065B,53477,551,149094
623.xalancbmk_s-10B,17385,3580,1030
623.xalancbmk_s-165B,117066,452,71756
623.xalancbmk_s-202B,152512,265,126028
628.pop2_s-17B,59862,1342,64737
641.leela_s-1083B,43,2,1054
649.fotonik3d_s-10881B,174162,889,138579
649.fotonik3d_s-1176B,2336,0,302635
649.fotonik3d_s-7084B,120301,1455,417590
649.fotonik3d_s-8225B,2338,0,307884
654.roms_s-1007B,39445,212,163847
654.roms_s-1070B,106023,657,387212
654.roms_s-1390B,138673,489,601706
654.roms_s-1613B,29001,180,58114
654.roms_s-293B,98657,368,81372
654.roms_s-294B,60888,294,356104
654.roms_s-523B,74483,542,580380
657.xz_s-2302B,651,16,1037
