benchmarks,positive,negative,neutral
600.perlbench_s-570B,0,0,1726
602.gcc_s-1850B,132402,265869,489886
602.gcc_s-2226B,706975,905952,1957564
602.gcc_s-734B,86344,99990,238756
603.bwaves_s-1740B,109248,85447,678517
603.bwaves_s-2609B,107768,85493,679141
603.bwaves_s-2931B,57683,84203,270388
603.bwaves_s-891B,145231,250229,740116
605.mcf_s-1152B,405418,75732,230770
605.mcf_s-1536B,53781,184879,266141
605.mcf_s-1554B,1928517,625548,1154071
605.mcf_s-1644B,511477,241122,679401
605.mcf_s-472B,812867,282478,576136
605.mcf_s-484B,307960,101371,376678
605.mcf_s-665B,251514,63246,183954
605.mcf_s-782B,1640153,368439,686787
605.mcf_s-994B,160883,113985,346569
607.cactuBSSN_s-2421B,53405,14987,86974
607.cactuBSSN_s-3477B,38558,1225,53838
607.cactuBSSN_s-4004B,39935,5925,65203
619.lbm_s-2676B,137885,49406,298396
619.lbm_s-2677B,150399,61309,343065
619.lbm_s-3766B,69266,30298,191934
619.lbm_s-4268B,154267,55527,338335
620.omnetpp_s-141B,62699,61753,131070
620.omnetpp_s-874B,60545,58435,120943
621.wrf_s-6673B,213805,163973,472636
621.wrf_s-8065B,61645,44062,115481
623.xalancbmk_s-10B,217628,135104,287279
623.xalancbmk_s-165B,66382,2190,127054
623.xalancbmk_s-202B,204050,1992,394052
628.pop2_s-17B,29704,11184,104528
641.leela_s-1083B,1,0,4216
649.fotonik3d_s-10881B,107694,146363,530879
649.fotonik3d_s-1176B,51067,146623,232231
649.fotonik3d_s-7084B,120275,204628,531067
649.fotonik3d_s-8225B,51356,149231,232571
654.roms_s-1007B,66486,91841,199446
654.roms_s-1070B,146682,250604,489593
654.roms_s-1390B,250654,376685,729826
654.roms_s-1613B,32274,46299,83816
654.roms_s-293B,35887,30232,128593
654.roms_s-294B,116779,123666,310209
654.roms_s-523B,204317,308908,598125
657.xz_s-2302B,3017,3183,6333
