benchmarks,positive,negative,neutral
600.perlbench_s-570B,1,1,21
602.gcc_s-1850B,15437,14,494047
602.gcc_s-2226B,379082,1040,1211188
602.gcc_s-734B,20930,34,245070
603.bwaves_s-1740B,81278,0,325178
603.bwaves_s-2609B,80396,0,325530
603.bwaves_s-2931B,44840,2,253346
603.bwaves_s-891B,10867,0,764678
605.mcf_s-1152B,76462,12169,18723
605.mcf_s-1536B,5014,3989,14806
605.mcf_s-1554B,771648,16798,109607
605.mcf_s-1644B,358018,5717,51838
605.mcf_s-472B,258562,5627,38169
605.mcf_s-484B,120702,2465,25158
605.mcf_s-665B,59885,9029,20041
605.mcf_s-782B,280396,50946,12499
605.mcf_s-994B,15578,4132,3324
607.cactuBSSN_s-2421B,24887,561,13752
607.cactuBSSN_s-3477B,2555,49,9431
607.cactuBSSN_s-4004B,3032,99,10121
619.lbm_s-2676B,28910,0,55623
619.lbm_s-2677B,31738,0,67780
619.lbm_s-3766B,14507,0,42144
619.lbm_s-4268B,34569,2,65030
620.omnetpp_s-141B,608,230,234
620.omnetpp_s-874B,617,235,328
621.wrf_s-6673B,105564,645,349847
621.wrf_s-8065B,52542,520,149951
623.xalancbmk_s-10B,17176,3842,1017
623.xalancbmk_s-165B,121848,970,80176
623.xalancbmk_s-202B,152971,241,129381
628.pop2_s-17B,59773,1330,65745
641.leela_s-1083B,43,2,1054
649.fotonik3d_s-10881B,174014,906,139026
649.fotonik3d_s-1176B,2360,0,302858
649.fotonik3d_s-7084B,119372,1402,419021
649.fotonik3d_s-8225B,2409,0,308025
654.roms_s-1007B,39348,240,164531
654.roms_s-1070B,106362,619,387345
654.roms_s-1390B,136246,506,606580
654.roms_s-1613B,28835,178,59260
654.roms_s-293B,98868,368,81300
654.roms_s-294B,62132,319,354924
654.roms_s-523B,74884,543,580667
657.xz_s-2302B,650,17,1036
