benchmarks,positive,negative,neutral
600.perlbench_s-570B,0,0,1726
602.gcc_s-1850B,129752,261394,496146
602.gcc_s-2226B,726151,888868,1952192
602.gcc_s-734B,86439,98641,238617
603.bwaves_s-1740B,117880,81140,673990
603.bwaves_s-2609B,117801,81851,674559
603.bwaves_s-2931B,154974,94396,237941
603.bwaves_s-891B,170926,230838,735370
605.mcf_s-1152B,446095,86765,200143
605.mcf_s-1536B,97077,57193,349837
605.mcf_s-1554B,2981848,846458,1518963
605.mcf_s-1644B,999406,369827,249922
605.mcf_s-472B,1056248,313602,499907
605.mcf_s-484B,493307,125760,255451
605.mcf_s-665B,269352,67126,162039
605.mcf_s-782B,1731641,432530,606542
605.mcf_s-994B,141155,87679,358366
607.cactuBSSN_s-2421B,52425,6751,65724
607.cactuBSSN_s-3477B,36119,1824,47970
607.cactuBSSN_s-4004B,35496,1724,44320
619.lbm_s-2676B,343760,104604,101660
619.lbm_s-2677B,388722,121808,115051
619.lbm_s-3766B,203064,54982,64928
619.lbm_s-4268B,388210,124337,115927
620.omnetpp_s-141B,91772,54435,123781
620.omnetpp_s-874B,77860,46934,116321
621.wrf_s-6673B,256684,159815,440100
621.wrf_s-8065B,107771,42749,76768
623.xalancbmk_s-10B,285991,180594,406881
623.xalancbmk_s-165B,415704,37541,335011
623.xalancbmk_s-202B,232999,20114,668845
628.pop2_s-17B,28061,12078,100333
641.leela_s-1083B,0,0,4217
649.fotonik3d_s-10881B,221315,143041,497668
649.fotonik3d_s-1176B,54665,83244,293455
649.fotonik3d_s-7084B,135934,188473,532090
649.fotonik3d_s-8225B,55358,83988,294343
654.roms_s-1007B,97271,88106,194698
654.roms_s-1070B,256583,183920,468309
654.roms_s-1390B,364460,319568,716250
654.roms_s-1613B,43936,46000,87399
654.roms_s-293B,91168,51227,66117
654.roms_s-294B,110682,124419,312244
654.roms_s-523B,280603,257437,596865
657.xz_s-2302B,3119,2931,6051
