benchmarks,positive,negative,neutral
600.perlbench_s-570B,2,0,21
602.gcc_s-1850B,15222,13,494424
602.gcc_s-2226B,378273,1051,1211984
602.gcc_s-734B,20543,36,245695
603.bwaves_s-1740B,81406,0,323942
603.bwaves_s-2609B,80526,0,326011
603.bwaves_s-2931B,42016,4,253644
603.bwaves_s-891B,11166,0,761879
605.mcf_s-1152B,74630,11935,18502
605.mcf_s-1536B,4312,3463,15758
605.mcf_s-1554B,754661,15255,99124
605.mcf_s-1644B,344064,5918,46483
605.mcf_s-472B,256419,5774,37168
605.mcf_s-484B,120398,2546,25088
605.mcf_s-665B,59056,8854,19918
605.mcf_s-782B,268802,51307,12084
605.mcf_s-994B,13968,4019,3244
607.cactuBSSN_s-2421B,24968,293,13300
607.cactuBSSN_s-3477B,2592,47,9013
607.cactuBSSN_s-4004B,2955,38,9087
619.lbm_s-2676B,28544,0,56111
619.lbm_s-2677B,35293,0,65094
619.lbm_s-3766B,13899,0,43385
619.lbm_s-4268B,34174,1,66008
620.omnetpp_s-141B,656,237,264
620.omnetpp_s-874B,678,231,325
621.wrf_s-6673B,106198,634,348471
621.wrf_s-8065B,54052,509,148799
623.xalancbmk_s-10B,19399,3867,1072
623.xalancbmk_s-165B,116950,433,78635
623.xalancbmk_s-202B,145457,242,135602
628.pop2_s-17B,60969,1433,63503
641.leela_s-1083B,55,1,1054
649.fotonik3d_s-10881B,173973,914,138979
649.fotonik3d_s-1176B,2190,0,303114
649.fotonik3d_s-7084B,119818,1441,418094
649.fotonik3d_s-8225B,2308,0,304880
654.roms_s-1007B,39867,239,162953
654.roms_s-1070B,107315,614,385929
654.roms_s-1390B,136816,510,604450
654.roms_s-1613B,29105,163,58841
654.roms_s-293B,99041,419,81349
654.roms_s-294B,62448,277,353874
654.roms_s-523B,74303,577,580728
657.xz_s-2302B,679,19,1009
