benchmarks,positive,negative,neutral
600.perlbench_s-570B,0,0,1735
602.gcc_s-1850B,133276,265757,490910
602.gcc_s-2226B,707684,910541,1957418
602.gcc_s-734B,85344,100545,239802
603.bwaves_s-1740B,109283,85439,677664
603.bwaves_s-2609B,107713,85212,678977
603.bwaves_s-2931B,57373,92218,278526
603.bwaves_s-891B,136221,276048,721988
605.mcf_s-1152B,401885,93381,331130
605.mcf_s-1536B,35831,288096,359538
605.mcf_s-1554B,747597,434002,937389
605.mcf_s-1644B,477007,231877,718029
605.mcf_s-472B,674300,238348,526691
605.mcf_s-484B,302344,79952,363623
605.mcf_s-665B,247276,69452,225558
605.mcf_s-782B,1611912,425310,924938
605.mcf_s-994B,162097,103020,320865
607.cactuBSSN_s-2421B,56204,13430,112568
607.cactuBSSN_s-3477B,44727,1443,86266
607.cactuBSSN_s-4004B,45929,7766,94149
619.lbm_s-2676B,144762,50600,294271
619.lbm_s-2677B,161211,58990,333651
619.lbm_s-3766B,73027,27857,189079
619.lbm_s-4268B,144586,62092,350874
620.omnetpp_s-141B,66336,62882,140559
620.omnetpp_s-874B,69653,58172,116557
621.wrf_s-6673B,176321,151409,475831
621.wrf_s-8065B,84334,38958,104201
623.xalancbmk_s-10B,163286,115406,384822
623.xalancbmk_s-165B,43602,2599,131876
623.xalancbmk_s-202B,133176,4331,418095
628.pop2_s-17B,31520,18369,124418
641.leela_s-1083B,0,0,4296
649.fotonik3d_s-10881B,113362,149782,589870
649.fotonik3d_s-1176B,52225,146738,233020
649.fotonik3d_s-7084B,120670,205084,530377
649.fotonik3d_s-8225B,52859,148703,230998
654.roms_s-1007B,64883,92884,198753
654.roms_s-1070B,150266,253822,486332
654.roms_s-1390B,241913,391360,715038
654.roms_s-1613B,27283,48760,85324
654.roms_s-293B,27223,37503,77924
654.roms_s-294B,121181,127447,327251
654.roms_s-523B,197820,315748,585816
657.xz_s-2302B,2360,3613,5795
