benchmark,<10,10-25,25-50,50-100,100-500,>500
600.perlbench_s-570B,3,47,50,38,31,0
602.gcc_s-1850B,1170,4568,15618,44651,5509,539
602.gcc_s-2226B,14036,57944,524977,1507153,174329,36503
602.gcc_s-734B,245,106,90,195,412,69
603.bwaves_s-1740B,635,699,1350,2576,14432,21653
603.bwaves_s-2609B,632,754,1282,2549,14416,21504
603.bwaves_s-2931B,35,54,47,95,667,1380
603.bwaves_s-891B,3859,5763,7857,8660,22207,37165
605.mcf_s-1152B,7144,5029,9368,17608,82870,37711
605.mcf_s-1536B,418,2323,1843,1368,2617,607
605.mcf_s-1554B,7349,10715,51604,81838,649421,1066247
605.mcf_s-1644B,2592,8382,7578,14761,52678,93173
605.mcf_s-472B,2620,8526,18185,30995,190961,421823
605.mcf_s-484B,866,6263,11992,18755,70080,113998
605.mcf_s-665B,4441,2547,4572,7398,42793,19093
605.mcf_s-782B,34186,21454,35000,62647,399910,248049
605.mcf_s-994B,66641,16887,53670,3318,51444,5619
607.cactuBSSN_s-2421B,0,0,0,1,2,0
607.cactuBSSN_s-3477B,0,0,0,0,0,0
607.cactuBSSN_s-4004B,0,0,0,0,0,0
619.lbm_s-2676B,740,903,1937,1783,13222,37939
619.lbm_s-2677B,866,1031,2452,2108,15826,44945
619.lbm_s-3766B,452,357,535,932,4778,16686
619.lbm_s-4268B,888,1007,2410,2229,15936,44692
620.omnetpp_s-141B,599,1068,3100,2399,9504,74
620.omnetpp_s-874B,786,1233,2960,2688,10242,71
621.wrf_s-6673B,2455,3810,6471,6599,30170,39251
621.wrf_s-8065B,856,1449,2936,2399,9112,5061
623.xalancbmk_s-10B,1508,2120,3398,16691,60933,3646
623.xalancbmk_s-165B,2308,1992,6931,10425,51633,21844
623.xalancbmk_s-202B,3878,3190,8670,17580,58884,24135
628.pop2_s-17B,1303,1529,2581,1592,8852,1839
641.leela_s-1083B,476,1409,267,1178,64,3
649.fotonik3d_s-10881B,804,1315,2289,1722,12684,12264
649.fotonik3d_s-1176B,18657,12299,21677,44751,15052,45792
649.fotonik3d_s-7084B,87,165,369,657,3968,11449
649.fotonik3d_s-8225B,18822,12414,22263,44112,15074,45495
654.roms_s-1007B,430,1304,1167,2241,10623,12311
654.roms_s-1070B,1079,2810,2113,4770,14363,31143
654.roms_s-1390B,3514,9656,10726,15528,56431,74935
654.roms_s-1613B,397,1787,1396,2230,8572,9109
654.roms_s-293B,1132,1351,313,275,1298,3359
654.roms_s-294B,145,261,406,414,3380,1117
654.roms_s-523B,5615,6517,6720,19935,34360,50182
657.xz_s-2302B,271,354,141,63,157,10
