benchmark,early,late,useless,filled,issued,requested
client_001,113760,11795,370972,484516,2330022,2330809
client_002,30738,1148,30832,61597,624491,624491
client_003,21033,2349,50261,71321,746714,746717
client_004,63593,4762,110754,174483,1601356,1601375
client_005,34761,5121,68421,103125,795855,795875
client_006,175164,106143,163408,338488,1622800,1622897
client_007,165066,12682,329517,494716,2642728,2643450
client_008,40441,6238,272561,312983,1607316,1607358
server_001,93025,6982,47089,140163,912503,912914
server_003,87514,8446,185515,273218,1605006,1605153
server_004,158006,47026,1485071,1642966,6149868,6150232
server_009,81469,22901,672452,754172,2835634,2835852
server_010,29094,6347,68857,97988,476423,476470
server_011,31437,6877,71032,102524,511375,511585
server_012,28579,6181,70043,98588,478533,478677
server_013,27892,6931,68545,96513,472247,472416
server_014,3880,4667,3993,7737,995509,995555
server_016,27193,24957,50775,77991,8010445,8011938
server_017,231918,75724,103104,335023,1521199,1522958
server_018,224388,75809,274598,498857,2021138,2045419
server_019,235789,76194,99480,335295,1534117,1536319
server_020,247420,69867,370366,617833,2568396,2638461
server_021,253201,70290,287163,540406,2390807,2466718
server_022,239559,76643,95974,335534,1539105,1541031
server_023,59176,55177,108770,167905,1271208,1271282
server_024,57632,54832,109230,166836,1275613,1275685
server_025,40925,20674,104586,145495,1046657,1046716
server_026,52614,41543,103813,156434,1124080,1124101
server_027,41702,21997,103745,145428,1066821,1066911
server_028,252427,53037,265097,517503,1812470,1812494
server_029,255335,55807,260018,515428,1804265,1804270
server_030,277788,57458,222247,500010,1785682,1785682
server_031,56489,53825,133655,190138,965087,965090
server_032,21184,8731,111008,132206,724436,724436
server_033,22738,1997,153988,176768,734250,734284
server_034,21765,1274,145539,167240,719523,719563
server_035,25098,2875,161982,187075,738230,738695
server_037,16402,1473,37950,54343,416665,416745
server_038,14934,1810,37953,52885,414297,414315
