benchmark,early,late,useless,filled,issued,requested
client_001,28034,2321,141349,167325,140597,140597
client_002,7519,262,39181,45258,122225,122225
client_003,10050,334,35728,45843,65533,65533
client_004,18523,1349,57545,75207,166817,166817
client_005,12913,1053,77263,90371,108093,108093
client_006,23285,9966,216087,240150,577634,579935
client_007,16556,958,71069,89076,515040,515045
client_008,42663,4515,133728,176943,869524,869524
server_001,46372,7274,126209,171861,342614,342614
server_003,51071,4419,158197,209369,328514,328514
server_004,54018,5752,179563,233602,343404,343404
server_009,67299,7348,200132,268225,424325,424325
server_010,73224,8477,220015,293157,457865,457865
server_011,74892,8273,230271,305141,466691,466712
server_012,71182,7997,214299,285431,454141,454141
server_013,76275,8662,228046,304268,463593,463593
server_014,1026,808,13862,12936,14661,14672
server_016,11474,1506,59599,70978,249006,249006
server_017,51145,7815,425655,476811,668175,668179
server_018,49855,7292,484991,534143,579675,579675
server_019,50275,7756,420860,471212,676544,676544
server_020,52709,8051,452926,505386,621683,621683
server_021,53474,8007,465678,519097,472531,472531
server_022,50698,7428,420224,470934,675484,675484
server_023,23355,3109,126593,150040,543964,543964
server_024,25802,2848,125238,151070,533849,533849
server_025,24216,2491,123142,147346,613185,613185
server_026,31451,2785,127922,159429,603888,603888
server_027,25521,3698,111575,137004,601527,601527
server_028,28541,5873,245906,274475,1019252,1019252
server_029,30174,6211,234037,264374,1026706,1026721
server_030,28358,3566,209914,238659,1049034,1049034
server_031,18689,4699,124410,142758,724795,724795
server_032,9812,1872,77367,87008,719378,719378
server_033,49303,2149,80428,130021,550493,550493
server_034,19381,730,41857,61017,554711,554711
server_035,45939,8663,77380,123218,554205,554205
server_037,33246,747,60983,94128,305297,305297
server_038,35640,679,61409,97044,314782,314782
