benchmarks,IPC
client_001,0.622208
client_002,0.660479
client_003,0.655741
client_004,0.525673
client_005,0.600656
client_006,0.57759
client_007,0.606117
client_008,0.493256
server_001,0.594793
server_003,0.459036
server_004,0.405603
server_009,0.453499
server_010,0.480347
server_011,0.465059
server_012,0.48703
server_013,0.46941
server_014,0.608464
server_016,0.535496
server_017,0.377441
server_018,0.368186
server_019,0.377412
server_020,0.389921
server_021,0.397584
server_022,0.391994
server_023,0.424765
server_024,0.420893
server_025,0.394924
server_026,0.397944
server_027,0.397851
server_028,0.396615
server_029,0.391436
server_030,0.390995
server_031,0.393623
server_032,0.404253
server_033,0.490928
server_034,0.493572
server_035,0.466843
server_037,0.559346
server_038,0.556846
