benchmark,early,late,useless,filled,issued,requested
client_001,114689,11001,371778,486252,2331636,2332423
client_002,31598,1312,30691,62317,624694,624694
client_003,21342,2176,50297,71665,747582,747582
client_004,64366,4328,110778,175277,1601379,1601389
client_005,37808,3104,68439,106185,796368,796368
client_006,178170,101996,163665,341749,1624627,1624742
client_007,165432,12200,330033,495594,2645799,2646062
client_008,41894,4860,272703,314578,1608598,1608598
server_001,102528,8071,47159,149744,914898,914900
server_003,88588,7667,185376,274149,1604517,1604658
server_004,158806,46258,1483304,1642002,6152987,6153237
server_009,82022,22640,673449,755723,2852681,2852804
server_010,29231,6262,69050,98318,477201,477252
server_011,31868,6756,71162,103083,512600,512789
server_012,28820,6127,70091,98880,479190,479326
server_013,28318,6759,68521,96910,472524,472717
server_014,6382,5313,4184,10426,997542,997607
server_016,30235,24477,50756,81011,8011159,8012619
server_017,268524,53831,103755,372277,1522225,1524013
server_018,274111,40010,304214,578197,2091938,2112880
server_019,271484,55544,100475,371985,1535396,1537645
server_020,310372,21647,379480,689906,2597951,2656875
server_021,316022,22454,294232,610295,2416806,2483094
server_022,275757,55704,96539,372299,1540318,1542140
server_023,64130,53865,108647,172738,1271057,1271057
server_024,62624,53607,109083,171685,1276176,1276176
server_025,45000,19420,104552,149536,1046771,1046771
server_026,57171,40304,103915,161095,1124920,1124920
server_027,46069,21122,103573,149624,1066720,1066720
server_028,255756,49674,264115,519848,1808655,1808669
server_029,258667,52279,259950,518696,1805032,1805038
server_030,279728,55416,222321,502022,1785781,1785781
server_031,60311,49630,133648,193952,965909,965912
server_032,25800,5581,115079,140895,732722,732722
server_033,23423,1531,154051,177516,735232,735266
server_034,21747,1120,145302,166985,714605,714649
server_035,25867,2195,162031,187893,739332,739801
server_037,17390,639,37856,55235,416367,416441
server_038,15990,805,38059,54044,413044,413060
