benchmarks,IPC
client_001,0.624694
client_002,0.661008
client_003,0.656484
client_004,0.526374
client_005,0.602612
client_006,0.581874
client_007,0.607199
client_008,0.493512
server_001,0.600249
server_003,0.460405
server_004,0.405953
server_009,0.453651
server_010,0.48047
server_011,0.465297
server_012,0.487209
server_013,0.469659
server_014,0.610594
server_016,0.535582
server_017,0.408654
server_018,0.395537
server_019,0.415506
server_020,0.42117
server_021,0.433587
server_022,0.427881
server_023,0.424893
server_024,0.421013
server_025,0.394989
server_026,0.398006
server_027,0.397981
server_028,0.396795
server_029,0.391546
server_030,0.391058
server_031,0.39371
server_032,0.404366
server_033,0.491079
server_034,0.493642
server_035,0.46888
server_037,0.559434
server_038,0.556914
